ISO3,Year,SWIID_gini_disp
AFG,2007,31.4
AFG,2008,31.4
AFG,2009,31.5
AFG,2010,31.6
AFG,2011,31.7
AFG,2012,31.8
AFG,2013,31.8
AFG,2014,31.9
AFG,2015,31.9
AFG,2016,31.9
AFG,2017,31.9
ALB,1996,35.8
ALB,1997,35.9
ALB,1998,36.1
ALB,1999,36.2
ALB,2000,36.4
ALB,2001,36.5
ALB,2002,36.7
ALB,2003,36.8
ALB,2004,36.9
ALB,2005,36.9
ALB,2006,37
ALB,2007,37
ALB,2008,37
ALB,2009,37
ALB,2010,37
ALB,2011,37.1
ALB,2012,37
ALB,2013,37.1
ALB,2014,37.1
ALB,2015,37
ALB,2016,36.8
ALB,2017,36.4
ALB,2018,35.9
ALB,2019,35.5
ALB,2020,35.2
ALB,2021,34.9
ALB,2022,34.7
DZA,1988,37.3
DZA,1989,37.2
DZA,1990,37.1
DZA,1991,36.9
DZA,1992,36.8
DZA,1993,36.7
DZA,1994,36.5
DZA,1995,36.4
DZA,1996,36.3
DZA,1997,36.1
DZA,1998,36
DZA,1999,35.8
DZA,2000,35.7
DZA,2001,35.6
DZA,2002,35.4
DZA,2003,35.2
DZA,2004,35.1
DZA,2005,34.9
DZA,2006,34.7
DZA,2007,34.5
DZA,2008,34.4
DZA,2009,34.1
DZA,2010,34
DZA,2011,33.7
AND,2001,30
AND,2002,29.9
AND,2003,29.9
AND,2004,30
AND,2005,30
AND,2006,30
AND,2007,30
AND,2008,30
AND,2009,30
AND,2010,30
AND,2011,30
AND,2012,30
AND,2013,30
AND,2014,30
AND,2015,30
AND,2016,30
AGO,2000,50.5
AGO,2001,50.4
AGO,2002,50.3
AGO,2003,50.3
AGO,2004,50.2
AGO,2005,50.1
AGO,2006,49.8
AGO,2007,49.6
AGO,2008,49.3
AGO,2009,49.3
AGO,2010,49.3
AGO,2011,49.4
AGO,2012,49.5
AGO,2013,49.6
AGO,2014,49.6
AGO,2015,49.7
AGO,2016,49.8
AGO,2017,49.9
AGO,2018,49.9
AIA,2002,37.2
AIA,2003,37.3
AIA,2004,37.5
AIA,2005,37.6
AIA,2006,37.7
AIA,2007,37.9
AIA,2008,38.1
AIA,2009,38.2
ATG,2007,48.4
ARG,1961,36.3
ARG,1962,36.1
ARG,1963,36
ARG,1964,35.9
ARG,1965,35.9
ARG,1966,35.9
ARG,1967,35.8
ARG,1968,35.9
ARG,1969,35.9
ARG,1970,35.9
ARG,1971,35.7
ARG,1972,35.5
ARG,1973,35.4
ARG,1974,35.3
ARG,1975,35.7
ARG,1976,36.1
ARG,1977,36.7
ARG,1978,37.2
ARG,1979,37.7
ARG,1980,38.2
ARG,1981,38.7
ARG,1982,39.2
ARG,1983,39.6
ARG,1984,40.1
ARG,1985,40.5
ARG,1986,41
ARG,1987,41.6
ARG,1988,42.1
ARG,1989,42.5
ARG,1990,42.7
ARG,1991,42.8
ARG,1992,42.8
ARG,1993,43
ARG,1994,43.6
ARG,1995,44.3
ARG,1996,44.9
ARG,1997,45.5
ARG,1998,46
ARG,1999,46.4
ARG,2000,46.8
ARG,2001,47.2
ARG,2002,47.1
ARG,2003,46.5
ARG,2004,45.5
ARG,2005,44.5
ARG,2006,43.5
ARG,2007,42.4
ARG,2008,41.5
ARG,2009,41
ARG,2010,40.3
ARG,2011,39.6
ARG,2012,39
ARG,2013,38.6
ARG,2014,38.2
ARG,2015,38
ARG,2016,37.9
ARG,2017,37.9
ARG,2018,38
ARG,2019,38.1
ARG,2020,38.1
ARG,2021,38
ARG,2022,37.9
ARG,2023,38.1
ARG,2024,38.4
ARM,1988,30
ARM,1989,30
ARM,1990,31
ARM,1991,32.4
ARM,1992,33.7
ARM,1993,35.1
ARM,1994,36.4
ARM,1995,37.8
ARM,1996,39.2
ARM,1997,39.7
ARM,1998,40.1
ARM,1999,40.4
ARM,2000,40
ARM,2001,39.6
ARM,2002,39
ARM,2003,38.8
ARM,2004,38.4
ARM,2005,37.7
ARM,2006,37
ARM,2007,36.6
ARM,2008,35.9
ARM,2009,35.6
ARM,2010,35.3
ARM,2011,35
ARM,2012,35.6
ARM,2013,36.1
ARM,2014,36.6
ARM,2015,36.8
ARM,2016,36.9
ARM,2017,36.8
ARM,2018,36.4
ARM,2019,35.5
ARM,2020,34.3
ARM,2021,34
ARM,2022,33.9
ARM,2023,33.9
ARM,2024,33.9
AUS,1967,27.6
AUS,1968,27.6
AUS,1969,27.7
AUS,1970,27.5
AUS,1971,27.3
AUS,1972,27.1
AUS,1973,27
AUS,1974,26.8
AUS,1975,25.8
AUS,1976,26.1
AUS,1977,26.5
AUS,1978,26.9
AUS,1979,27.3
AUS,1980,27.7
AUS,1981,28.1
AUS,1982,28.1
AUS,1983,28.6
AUS,1984,29.1
AUS,1985,29.2
AUS,1986,29.2
AUS,1987,29.5
AUS,1988,29.8
AUS,1989,30.1
AUS,1990,29.8
AUS,1991,30
AUS,1992,30.1
AUS,1993,30.3
AUS,1994,30.5
AUS,1995,30.9
AUS,1996,31
AUS,1997,31.2
AUS,1998,31.4
AUS,1999,31.5
AUS,2000,31.7
AUS,2001,31.8
AUS,2002,31.7
AUS,2003,31.7
AUS,2004,31.7
AUS,2005,32.1
AUS,2006,32.4
AUS,2007,32.8
AUS,2008,33.1
AUS,2009,33.1
AUS,2010,33
AUS,2011,32.8
AUS,2012,32.5
AUS,2013,32.6
AUS,2014,32.7
AUS,2015,32.7
AUS,2016,32.7
AUS,2017,32.7
AUS,2018,32.7
AUS,2019,32.6
AUS,2020,32.6
AUT,1994,30.5
AUT,1995,28.3
AUT,1996,26.9
AUT,1997,26.4
AUT,1998,26.4
AUT,1999,26.2
AUT,2000,26.1
AUT,2001,26.2
AUT,2002,26.3
AUT,2003,26.5
AUT,2004,26.6
AUT,2005,26.5
