ISO3,Year,WID_income_share_bottom50
AND,1995,19.56
AND,1996,19.5
AND,1997,19.18
AND,1998,19.259999999999998
AND,1999,19.25
AND,2000,18.93
AND,2001,18.92
AND,2002,19.189999999999998
AND,2003,18.96
AND,2004,18.21
AND,2005,18.44
AND,2006,18.2
AND,2007,18.4
AND,2008,19.16
AND,2009,19.54
AND,2010,18.4
AND,2011,18.33
AND,2012,18.459999999999997
AND,2013,18.16
AND,2014,18.05
AND,2015,18.08
AND,2016,18.14
AND,2017,18.26
AND,2018,18.42
AND,2019,18.6
AND,2020,18.52
AND,2021,18.34
AND,2022,18.4
ARE,1995,10.08
ARE,1996,10.08
ARE,1997,10.08
ARE,1998,10.08
ARE,1999,10.01
ARE,2000,9.93
ARE,2001,9.84
ARE,2002,9.75
ARE,2003,9.66
ARE,2004,9.56
ARE,2005,9.45
ARE,2006,9.34
ARE,2007,9.21
ARE,2008,9.08
ARE,2009,8.94
ARE,2010,9.520000000000001
ARE,2011,10.100000000000001
ARE,2012,10.67
ARE,2013,11.23
ARE,2014,11.06
ARE,2015,11.51
ARE,2016,11.97
ARE,2017,12.44
ARE,2018,12.91
ARE,2019,12.91
ARE,2020,12.91
ARE,2021,12.91
ARE,2022,12.91
AFG,1995,17.169999999999998
AFG,1996,17.169999999999998
AFG,1997,17.169999999999998
AFG,1998,17.169999999999998
AFG,1999,17.169999999999998
AFG,2000,17.169999999999998
AFG,2001,17.169999999999998
AFG,2002,17.169999999999998
AFG,2003,17.169999999999998
AFG,2004,17.169999999999998
AFG,2005,17.169999999999998
AFG,2006,17.169999999999998
AFG,2007,17.169999999999998
AFG,2008,17.169999999999998
AFG,2009,17.849999999999998
AFG,2010,17.919999999999998
AFG,2011,18.6
AFG,2012,19
AFG,2013,18.73
AFG,2014,18.55
AFG,2015,18.48
AFG,2016,18.16
AFG,2017,17.79
AFG,2018,17.79
AFG,2019,17.79
AFG,2020,17.79
AFG,2021,17.79
AFG,2022,17.79
ATG,1995,8.04
ATG,1996,8.07
ATG,1997,8.110000000000001
ATG,1998,8.14
ATG,1999,8.18
ATG,2000,8.21
ATG,2001,8.260000000000002
ATG,2002,8.3
ATG,2003,8.35
ATG,2004,8.39
ATG,2005,8.43
ATG,2006,8.459999999999999
ATG,2007,8.5
ATG,2008,8.53
ATG,2009,8.57
ATG,2010,8.6
ATG,2011,9.17
ATG,2012,9.74
ATG,2013,10.299999999999999
ATG,2014,10.86
ATG,2015,11.41
ATG,2016,11.97
ATG,2017,12.509999999999998
ATG,2018,13.059999999999999
ATG,2019,13.600000000000001
ATG,2020,14.13
ATG,2021,14.13
ATG,2022,14.13
ALB,1995,18.91
ALB,1996,18.91
ALB,1997,18.63
ALB,1998,18.67
ALB,1999,18.490000000000002
ALB,2000,18.490000000000002
ALB,2001,18.3
ALB,2002,18.08
ALB,2003,18.16
ALB,2004,18.35
ALB,2005,18.52
ALB,2006,18.55
ALB,2007,18.89
ALB,2008,18.68
ALB,2009,19.11
ALB,2010,19.13
ALB,2011,19.040000000000003
ALB,2012,19.11
ALB,2013,17.97
ALB,2014,17.24
ALB,2015,17.65
ALB,2016,16.49
ALB,2017,17.06
ALB,2018,17.49
ALB,2019,18.32
ALB,2020,18.34
ALB,2021,17.94
ALB,2022,17.23
ARM,1995,16.07
ARM,1996,13.48
ARM,1997,14.23
ARM,1998,15.120000000000001
ARM,1999,15.68
ARM,2000,16.48
ARM,2001,17.02
ARM,2002,16.84
ARM,2003,17.53
ARM,2004,16.14
ARM,2005,16.48
ARM,2006,19.32
ARM,2007,18.56
ARM,2008,19.33
ARM,2009,19.74
ARM,2010,18.78
ARM,2011,19.48
ARM,2012,19.63
ARM,2013,19.06
ARM,2014,18.57
ARM,2015,18.029999999999998
ARM,2016,17.36
ARM,2017,16.830000000000002
ARM,2018,16.74
ARM,2019,18.59
ARM,2020,18.59
ARM,2021,18.59
ARM,2022,18.59
AGO,1995,9.15
AGO,1996,9.15
AGO,1997,9.15
AGO,1998,9.15
AGO,1999,9.15
AGO,2000,9.15
AGO,2001,9.53
AGO,2002,9.92
AGO,2003,10.299999999999999
AGO,2004,10.69
AGO,2005,11.07
AGO,2006,11.459999999999999
AGO,2007,11.85
AGO,2008,12.23
AGO,2009,11.91
AGO,2010,11.59
AGO,2011,11.27
AGO,2012,10.95
AGO,2013,10.63
AGO,2014,10.31
AGO,2015,9.99
AGO,2016,9.67
AGO,2017,9.36
AGO,2018,9.04
AGO,2019,9.04
AGO,2020,9.04
AGO,2021,9.04
AGO,2022,9.04
ARG,1995,8.17
ARG,1996,8.17
ARG,1997,8.17
ARG,1998,8.17
ARG,1999,8.17
ARG,2000,8.17
ARG,2001,7.03
ARG,2002,7.000000000000001
ARG,2003,9.65
ARG,2004,10.280000000000001
ARG,2005,10.92
ARG,2006,11.62
ARG,2007,11.450000000000001
ARG,2008,12.839999999999998
ARG,2009,12.21
ARG,2010,12.82
ARG,2011,13.66
ARG,2012,14.04
ARG,2013,13.969999999999999
ARG,2014,12.94
ARG,2015,13.120000000000001
ARG,2016,13.309999999999999
ARG,2017,13.459999999999999
ARG,2018,13.469999999999999
ARG,2019,12.659999999999998
ARG,2020,10.63
ARG,2021,13.22
ARG,2022,13.26
AUT,1995,22.99
AUT,1996,22.97
AUT,1997,22.79
AUT,1998,22.8
AUT,1999,23.44
AUT,2000,22.91
AUT,2001,23.31
AUT,2002,22.919999999999998
AUT,2003,22.869999999999997
AUT,2004,22.900000000000002
AUT,2005,23.03
AUT,2006,22.650000000000002
AUT,2007,22.6
AUT,2008,22.52
AUT,2009,22.8
AUT,2010,22.37
AUT,2011,22.439999999999998
AUT,2012,22.8
AUT,2013,23.04
AUT,2014,23.18
AUT,2015,23.06
AUT,2016,22.6
AUT,2017,23.02
AUT,2018,22.939999999999998
AUT,2019,23.26
AUT,2020,23.26
AUT,2021,23.32
AUT,2022,23.34
AUS,1995,18.47
AUS,1996,18.68
AUS,1997,18.54
AUS,1998,18.2
AUS,1999,17.990000000000002
AUS,2000,17.96
AUS,2001,18.63
AUS,2002,17.68
AUS,2003,18.13
AUS,2004,18.07
AUS,2005,17.59
AUS,2006,17.580000000000002
AUS,2007,17.88
AUS,2008,17.28
AUS,2009,17.66
AUS,2010,17.65
AUS,2011,17.76
AUS,2012,17.65
AUS,2013,17.52
AUS,2014,17.5
AUS,2015,17.169999999999998
AUS,2016,17.43
AUS,2017,17.299999999999997
AUS,2018,17.82
AUS,2019,17.23
AUS,2020,17.73
AUS,2021,17.380000000000003
AUS,2022,17.23
ABW,1995,8.04
ABW,1996,8.07
ABW,1997,8.110000000000001
ABW,1998,8.14
ABW,1999,8.18
ABW,2000,8.21
ABW,2001,8.260000000000002
ABW,2002,8.3
ABW,2003,8.35
ABW,2004,8.39
ABW,2005,8.43
ABW,2006,8.459999999999999
ABW,2007,8.5
ABW,2008,8.53
ABW,2009,8.57
ABW,2010,8.6
ABW,2011,9.17
ABW,2012,9.74
ABW,2013,10.299999999999999
ABW,2014,10.86
ABW,2015,11.41
ABW,2016,11.97
ABW,2017,12.509999999999998
ABW,2018,13.059999999999999
ABW,2019,13.600000000000001
ABW,2020,14.13
ABW,2021,14.13
ABW,2022,14.13
AZE,1995,14.82
AZE,1996,14.649999999999999
AZE,1997,14.610000000000001
AZE,1998,15
AZE,1999,14.93
AZE,2000,15.39
AZE,2001,15.629999999999999
AZE,2002,20.200000000000003
AZE,2003,20.26
AZE,2004,20.53
AZE,2005,19.49
AZE,2006,16.14
AZE,2007,15.379999999999999
AZE,2008,19.74
AZE,2009,20.01
AZE,2010,20.53
AZE,2011,20.080000000000002
AZE,2012,19.56
AZE,2013,19.939999999999998
AZE,2014,19.939999999999998
AZE,2015,20.41
AZE,2016,21.099999999999998
AZE,2017,20.330000000000002
AZE,2018,20.330000000000002
AZE,2019,20.330000000000002
AZE,2020,20.330000000000002
AZE,2021,20.330000000000002
AZE,2022,20.330000000000002
BIH,1995,20.68
BIH,1996,20.380000000000003
BIH,1997,20.05
BIH,1998,19.650000000000002
BIH,1999,19.5
BIH,2000,19.259999999999998
BIH,2001,18.9
BIH,2002,18.52
BIH,2003,17.98
BIH,2004,17.83
BIH,2005,17.93
BIH,2006,18.060000000000002
BIH,2007,17.97
BIH,2008,17.77
BIH,2009,17.87
BIH,2010,17.83
BIH,2011,17.79
BIH,2012,17.849999999999998
BIH,2013,18.18
BIH,2014,18.2
BIH,2015,18.22
BIH,2016,18.26
BIH,2017,18.18
BIH,2018,18.22
BIH,2019,18.34
BIH,2020,18.34
BIH,2021,18.310000000000002
BIH,2022,18.22
BRB,1995,8.04
BRB,1996,8.07
BRB,1997,8.110000000000001
BRB,1998,8.14
BRB,1999,8.18
BRB,2000,8.21
BRB,2001,8.260000000000002
BRB,2002,8.3
BRB,2003,8.35
BRB,2004,8.39
BRB,2005,8.43
BRB,2006,8.459999999999999
BRB,2007,8.5
BRB,2008,8.53
BRB,2009,8.57
BRB,2010,8.6
BRB,2011,9.17
BRB,2012,9.74
BRB,2013,10.299999999999999
BRB,2014,10.86
BRB,2015,11.41
BRB,2016,11.97
BRB,2017,12.509999999999998
BRB,2018,13.059999999999999
BRB,2019,13.600000000000001
BRB,2020,14.13
BRB,2021,14.13
BRB,2022,14.13
BGD,1995,16.25
BGD,1996,16.189999999999998
BGD,1997,16.11
BGD,1998,16.08
BGD,1999,15.920000000000002
BGD,2000,15.85
BGD,2001,15.82
BGD,2002,15.6
BGD,2003,15.299999999999999
BGD,2004,15.260000000000002
BGD,2005,15.160000000000002
BGD,2006,15.28
BGD,2007,15.329999999999998
BGD,2008,15.950000000000001
BGD,2009,16.220000000000002
BGD,2010,16.06
BGD,2011,16.35
BGD,2012,16.439999999999998
BGD,2013,16.56
BGD,2014,16.74
BGD,2015,17.02
BGD,2016,17.09
BGD,2017,17.080000000000002
BGD,2018,17.080000000000002
BGD,2019,17.080000000000002
BGD,2020,17.080000000000002
BGD,2021,17.080000000000002
BGD,2022,17.080000000000002
BEL,1995,20.78
BEL,1996,20.549999999999997
BEL,1997,20.49
BEL,1998,20.150000000000002
BEL,1999,19.93
BEL,2000,20
BEL,2001,20.29
BEL,2002,20.49
BEL,2003,20.14
BEL,2004,20.080000000000002
BEL,2005,20.23
BEL,2006,20.169999999999998
BEL,2007,20.03
BEL,2008,21
BEL,2009,21.09
BEL,2010,20.599999999999998
BEL,2011,21.15
BEL,2012,21.16
BEL,2013,21.07
BEL,2014,20.97
BEL,2015,20.96
BEL,2016,21.11
BEL,2017,21.15
BEL,2018,20.43
BEL,2019,20.380000000000003
BEL,2020,20.380000000000003
BEL,2021,20.330000000000002
BEL,2022,20.32
BFA,1995,10
BFA,1996,9.91
BFA,1997,9.81
BFA,1998,9.719999999999999
BFA,1999,10.17
BFA,2000,10.61
BFA,2001,11.05
BFA,2002,11.49
BFA,2003,11.940000000000001
BFA,2004,12.17
BFA,2005,12.41
BFA,2006,12.65
BFA,2007,12.889999999999999
BFA,2008,13.13
BFA,2009,13.370000000000001
BFA,2010,13.700000000000001
BFA,2011,14.030000000000001
BFA,2012,14.37
BFA,2013,14.7
BFA,2014,15.040000000000001
BFA,2015,14.280000000000001
BFA,2016,13.52
BFA,2017,12.770000000000001
BFA,2018,12.01
BFA,2019,12.8
BFA,2020,13.59
BFA,2021,14.38
BFA,2022,14.38
BGR,1995,17.78
BGR,1996,18.56
BGR,1997,18.58
BGR,1998,19.53
BGR,1999,19.81
BGR,2000,20.19
BGR,2001,19.67
BGR,2002,18.7
BGR,2003,19.34
BGR,2004,19.37
BGR,2005,19.07
BGR,2006,18.35
BGR,2007,18.87
BGR,2008,19.25
BGR,2009,19.689999999999998
BGR,2010,19.45
BGR,2011,19.48
BGR,2012,18.39
BGR,2013,19.63
BGR,2014,18.33
BGR,2015,17.94
BGR,2016,16.81
BGR,2017,16.16
BGR,2018,16.23
BGR,2019,16.76
BGR,2020,16.76
BGR,2021,16.17
BGR,2022,15.659999999999998
BHR,1995,10.89
BHR,1996,10.75
BHR,1997,10.61
BHR,1998,10.459999999999999
BHR,1999,10.31
BHR,2000,10.16
BHR,2001,10.01
BHR,2002,9.86
BHR,2003,9.700000000000001
BHR,2004,9.54
BHR,2005,9.379999999999999
BHR,2006,10.27
BHR,2007,11.25
BHR,2008,12.34
BHR,2009,13.54
BHR,2010,12.950000000000001
BHR,2011,12.389999999999999
BHR,2012,11.86
BHR,2013,11.35
BHR,2014,10.86
BHR,2015,10.38
BHR,2016,10.38
BHR,2017,10.38
BHR,2018,10.38
BHR,2019,10.38
BHR,2020,10.38
BHR,2021,10.38
BHR,2022,10.38
BDI,1995,14.499999999999998
BDI,1996,13.94
BDI,1997,13.38
BDI,1998,12.82
BDI,1999,13.18
BDI,2000,13.54
BDI,2001,13.900000000000002
BDI,2002,14.26
BDI,2003,14.62
BDI,2004,14.99
BDI,2005,15.35
BDI,2006,15.72
BDI,2007,15.47
BDI,2008,15.229999999999999
BDI,2009,14.99
BDI,2010,14.74
BDI,2011,14.499999999999998
BDI,2012,14.26
BDI,2013,14.02
BDI,2014,14.069999999999999
BDI,2015,14.13
BDI,2016,14.180000000000001
BDI,2017,14.24
BDI,2018,14.29
BDI,2019,14.35
BDI,2020,14.399999999999999
BDI,2021,14.399999999999999
BDI,2022,14.399999999999999
BEN,1995,13.88
BEN,1996,13.88
BEN,1997,13.88
BEN,1998,13.88
BEN,1999,13.88
BEN,2000,13.88
BEN,2001,13.88
BEN,2002,13.88
BEN,2003,13.88
BEN,2004,13.63
BEN,2005,13.38
BEN,2006,13.13
BEN,2007,12.889999999999999
BEN,2008,12.64
BEN,2009,12.389999999999999
BEN,2010,12.139999999999999
BEN,2011,11.899999999999999
BEN,2012,11.78
BEN,2013,11.66
BEN,2014,11.540000000000001
BEN,2015,11.42
BEN,2016,12.31
BEN,2017,13.22
BEN,2018,14.13
BEN,2019,14.67
BEN,2020,15.22
BEN,2021,15.76
BEN,2022,15.76
BMU,1995,20.74
BMU,1996,20.73
BMU,1997,20.73
BMU,1998,20.73
BMU,1999,20.72
BMU,2000,20.72
BMU,2001,20.27
BMU,2002,19.830000000000002
BMU,2003,19.400000000000002
BMU,2004,18.98
BMU,2005,18.57
BMU,2006,18.17
BMU,2007,17.78
BMU,2008,17.39
BMU,2009,17.02
BMU,2010,16.650000000000002
BMU,2011,16.55
BMU,2012,16.45
BMU,2013,16.36
BMU,2014,16.27
BMU,2015,16.189999999999998
BMU,2016,16.11
BMU,2017,16.03
BMU,2018,15.959999999999999
BMU,2019,15.89
BMU,2020,15.82
BMU,2021,15.82
BMU,2022,15.82
BRN,1995,18.6
BRN,1996,18.6
BRN,1997,18.6
BRN,1998,18.6
BRN,1999,18.6
BRN,2000,18.6
BRN,2001,18.6
BRN,2002,18.6
BRN,2003,18.6
BRN,2004,18.6
BRN,2005,18.6
BRN,2006,18.970000000000002
BRN,2007,19.220000000000002
BRN,2008,19.45
BRN,2009,19.470000000000002
BRN,2010,19.7
BRN,2011,20.07
BRN,2012,20.07
BRN,2013,19.89
BRN,2014,19.55
BRN,2015,19.38
BRN,2016,19.139999999999997
BRN,2017,19.189999999999998
BRN,2018,19.259999999999998
BRN,2019,19.259999999999998
BRN,2020,19.259999999999998
BRN,2021,19.259999999999998
BRN,2022,19.259999999999998
BOL,1995,8.39
BOL,1996,8.39
BOL,1997,8.39
BOL,1998,8.39
BOL,1999,8.39
BOL,2000,8.39
BOL,2001,8.02
BOL,2002,8.1
BOL,2003,8.48
BOL,2004,8.72
BOL,2005,8.7
BOL,2006,9.04
BOL,2007,8.92
BOL,2008,9.16
BOL,2009,9.33
BOL,2010,9.47
BOL,2011,9.78
BOL,2012,10.03
BOL,2013,10.09
BOL,2014,10.25
BOL,2015,10.31
BOL,2016,10.280000000000001
BOL,2017,10.2
BOL,2018,10.11
BOL,2019,10.15
BOL,2020,8.690000000000001
BOL,2021,9.49
BOL,2022,10.14
BRA,1995,9.120000000000001
BRA,1996,9.120000000000001
BRA,1997,9.120000000000001
BRA,1998,9.120000000000001
BRA,1999,9.120000000000001
BRA,2000,9.120000000000001
BRA,2001,9.120000000000001
BRA,2002,9.06
BRA,2003,9.370000000000001
BRA,2004,9.56
BRA,2005,9.07
BRA,2006,9.32
BRA,2007,9.969999999999999
BRA,2008,10.18
BRA,2009,10.35
BRA,2010,10.27
BRA,2011,10.2
BRA,2012,10.59
BRA,2013,10.82
BRA,2014,10.72
BRA,2015,10.33
BRA,2016,9.629999999999999
BRA,2017,9.64
BRA,2018,9.64
BRA,2019,10.03
BRA,2020,8.19
BRA,2021,8.23
BRA,2022,9.06
BHS,1995,8.39
BHS,1996,8.39
BHS,1997,8.39
BHS,1998,8.39
BHS,1999,8.39
BHS,2000,8.39
BHS,2001,8.02
BHS,2002,8.1
BHS,2003,8.48
BHS,2004,8.72
BHS,2005,8.7
BHS,2006,9.04
BHS,2007,8.92
BHS,2008,9.16
BHS,2009,9.33
BHS,2010,9.47
BHS,2011,9.78
BHS,2012,10.03
BHS,2013,10.09
BHS,2014,10.25
BHS,2015,10.31
BHS,2016,10.280000000000001
BHS,2017,10.2
BHS,2018,10.11
BHS,2019,10.15
BHS,2020,8.690000000000001
BHS,2021,9.49
BHS,2022,10.14
BTN,1995,12.25
BTN,1996,12.25
BTN,1997,12.25
BTN,1998,12.25
BTN,1999,12.25
BTN,2000,12.25
BTN,2001,12.25
BTN,2002,12.25
BTN,2003,12.25
BTN,2004,12.83
BTN,2005,13.29
BTN,2006,13.62
BTN,2007,13.850000000000001
BTN,2008,14.17
BTN,2009,14.219999999999999
BTN,2010,13.919999999999998
BTN,2011,14.099999999999998
BTN,2012,14.14
BTN,2013,14.299999999999999
BTN,2014,14.530000000000001
BTN,2015,14.829999999999998
BTN,2016,14.95
BTN,2017,15.040000000000001
BTN,2018,15.040000000000001
BTN,2019,15.040000000000001
BTN,2020,15.040000000000001
BTN,2021,15.040000000000001
BTN,2022,15.040000000000001
BWA,1995,6.16
BWA,1996,6.11
BWA,1997,6.05
BWA,1998,6
BWA,1999,5.949999999999999
BWA,2000,5.8999999999999995
BWA,2001,5.84
BWA,2002,5.79
BWA,2003,6
BWA,2004,6.2
BWA,2005,6.41
BWA,2006,6.619999999999999
BWA,2007,6.819999999999999
BWA,2008,7.03
BWA,2009,7.24
BWA,2010,7.3
BWA,2011,7.359999999999999
BWA,2012,7.430000000000001
BWA,2013,7.489999999999999
BWA,2014,7.55
BWA,2015,7.62
BWA,2016,7.62
BWA,2017,7.62
BWA,2018,7.62
BWA,2019,7.62
BWA,2020,7.62
BWA,2021,7.62
BWA,2022,7.62
BLR,1995,20.65
BLR,1996,20.04
BLR,1997,18.65
BLR,1998,18.56
BLR,1999,18.48
BLR,2000,18.89
BLR,2001,19.86
BLR,2002,20.01
BLR,2003,20.57
BLR,2004,21.34
BLR,2005,21.14
BLR,2006,21.14
BLR,2007,19.91
BLR,2008,20.169999999999998
BLR,2009,20.9
BLR,2010,20.8
BLR,2011,19.27
BLR,2012,20.69
BLR,2013,22.75
BLR,2014,22.1
BLR,2015,22.78
BLR,2016,22.770000000000003
BLR,2017,22.29
BLR,2018,22.650000000000002
BLR,2019,22.58
BLR,2020,22.58
