ISO3,Country,event_year
ALB,Albania,2003
DZA,Algeria,2005
AGO,Angola,2006
ARG,Argentina,2004
ARM,Armenia,2001
AZE,Azerbaijan,2004
BHS,"Bahamas, The",2018
BGD,Bangladesh,2005
BRB,Barbados,2019
BLR,Belarus,2004
BLZ,Belize,2002
BEN,Benin,2013
BTN,Bhutan,2003
BIH,Bosnia and Herzegovina,2001
BWA,Botswana,2005
BRA,Brazil,2002
BGR,Bulgaria,2001
BFA,Burkina Faso,2001
BDI,Burundi,2001
CPV,Cabo Verde,2001
KHM,Cambodia,2003
CMR,Cameroon,2010
CAF,Central African Republic,2003
TCD,Chad,2002
COD,"Congo, Dem. Rep.",2002
COG,"Congo, Rep.",2013
CRI,Costa Rica,2005
HRV,Croatia,2001
CYP,Cyprus,2002
CIV,Côte d'Ivoire,2009
DOM,Dominican Republic,2005
ECU,Ecuador,2002
EGY,"Egypt, Arab Rep.",2005
ETH,Ethiopia,2004
FJI,Fiji,2005
GMB,"Gambia, The",2004
GEO,Georgia,2001
GHA,Ghana,2002
GRC,Greece,2018
GIN,Guinea,2007
GNB,Guinea-Bissau,2001
GUY,Guyana,2005
HTI,Haiti,2013
HND,Honduras,2002
HUN,Hungary,2001
ISL,Iceland,2011
IND,India,2015
IDN,Indonesia,2002
IRN,"Iran, Islamic Rep.",2001
IRQ,Iraq,2006
JAM,Jamaica,2009
JPN,Japan,2003
JOR,Jordan,2009
KAZ,Kazakhstan,2001
KEN,Kenya,2002
KWT,Kuwait,2001
KGZ,Kyrgyz Republic,2004
LAO,Lao PDR,2002
LVA,Latvia,2002
LBN,Lebanon,2002
LSO,Lesotho,2003
LBR,Liberia,2003
LBY,Libya,2003
LTU,Lithuania,2002
MDG,Madagascar,2001
MWI,Malawi,2001
MYS,Malaysia,2013
MLI,Mali,2003
MLT,Malta,2004
MRT,Mauritania,2003
MUS,Mauritius,2005
MDA,Moldova,2002
MNG,Mongolia,2002
MNE,Montenegro,2002
MOZ,Mozambique,2001
MMR,Myanmar,2004
NPL,Nepal,2001
NIC,Nicaragua,2002
NER,Niger,2003
NGA,Nigeria,2002
MKD,North Macedonia,2002
NOR,Norway,2016
PAK,Pakistan,2002
PAN,Panama,2014
PNG,Papua New Guinea,2004
PRY,Paraguay,2022
PER,Peru,2001
PHL,Philippines,2010
POL,Poland,2002
QAT,Qatar,2002
ROU,Romania,2001
RUS,Russian Federation,2002
RWA,Rwanda,2002
SAU,Saudi Arabia,2006
SEN,Senegal,2009
SRB,Serbia,2003
SYC,Seychelles,2002
SLE,Sierra Leone,2002
SVK,Slovak Republic,2004
SVN,Slovenia,2001
ZAF,South Africa,2010
LKA,Sri Lanka,2009
SDN,Sudan,2010
SUR,Suriname,2007
SYR,Syrian Arab Republic,2001
TJK,Tajikistan,2001
TZA,Tanzania,2010
TLS,Timor-Leste,2002
TGO,Togo,2013
TTO,Trinidad and Tobago,2016
TUR,Türkiye,2002
UGA,Uganda,2006
UKR,Ukraine,2001
ARE,United Arab Emirates,2002
GBR,United Kingdom,2021
URY,Uruguay,2004
VEN,"Venezuela, RB",2001
VNM,Vietnam,2004
YEM,"Yemen, Rep.",2001
ZMB,Zambia,2017
ZWE,Zimbabwe,2008
