outcome,component,success,reason
GDP_per_capita_growth,fraser_SizeGov,TRUE,NA
GDP_per_capita_growth,fraser_LegalSystem,TRUE,NA
GDP_per_capita_growth,fraser_SoundMoney,TRUE,NA
GDP_per_capita_growth,fraser_FreeTrade,TRUE,NA
GDP_per_capita_growth,fraser_Regulation,TRUE,NA
GDP_per_capita_growth,heritage_Property.Rights,TRUE,NA
GDP_per_capita_growth,heritage_Government.Integrity,TRUE,NA
GDP_per_capita_growth,heritage_Judicial.Effectiveness,TRUE,NA
GDP_per_capita_growth,heritage_Tax.Burden,TRUE,NA
GDP_per_capita_growth,heritage_Government.Spending,TRUE,NA
GDP_per_capita_growth,heritage_Fiscal.Health,TRUE,NA
GDP_per_capita_growth,heritage_Business.Freedom,TRUE,NA
GDP_per_capita_growth,heritage_Labor.Freedom,TRUE,NA
GDP_per_capita_growth,heritage_Monetary.Freedom,TRUE,NA
GDP_per_capita_growth,heritage_Trade.Freedom,TRUE,NA
GDP_per_capita_growth,heritage_Investment.Freedom,TRUE,NA
GDP_per_capita_growth,heritage_Financial.Freedom,TRUE,NA
Gini_SWIID,fraser_SizeGov,TRUE,NA
Gini_SWIID,fraser_LegalSystem,TRUE,NA
Gini_SWIID,fraser_SoundMoney,TRUE,NA
Gini_SWIID,fraser_FreeTrade,TRUE,NA
Gini_SWIID,fraser_Regulation,TRUE,NA
Gini_SWIID,heritage_Property.Rights,TRUE,NA
Gini_SWIID,heritage_Government.Integrity,TRUE,NA
Gini_SWIID,heritage_Judicial.Effectiveness,TRUE,NA
Gini_SWIID,heritage_Tax.Burden,TRUE,NA
Gini_SWIID,heritage_Government.Spending,TRUE,NA
Gini_SWIID,heritage_Fiscal.Health,TRUE,NA
Gini_SWIID,heritage_Business.Freedom,TRUE,NA
Gini_SWIID,heritage_Labor.Freedom,TRUE,NA
Gini_SWIID,heritage_Monetary.Freedom,TRUE,NA
Gini_SWIID,heritage_Trade.Freedom,TRUE,NA
Gini_SWIID,heritage_Investment.Freedom,TRUE,NA
Gini_SWIID,heritage_Financial.Freedom,TRUE,NA
Income_share_bottom50_WID,fraser_SizeGov,TRUE,NA
Income_share_bottom50_WID,fraser_LegalSystem,TRUE,NA
Income_share_bottom50_WID,fraser_SoundMoney,TRUE,NA
Income_share_bottom50_WID,fraser_FreeTrade,TRUE,NA
Income_share_bottom50_WID,fraser_Regulation,TRUE,NA
Income_share_bottom50_WID,heritage_Property.Rights,TRUE,NA
Income_share_bottom50_WID,heritage_Government.Integrity,TRUE,NA
Income_share_bottom50_WID,heritage_Judicial.Effectiveness,TRUE,NA
Income_share_bottom50_WID,heritage_Tax.Burden,TRUE,NA
Income_share_bottom50_WID,heritage_Government.Spending,TRUE,NA
Income_share_bottom50_WID,heritage_Fiscal.Health,TRUE,NA
Income_share_bottom50_WID,heritage_Business.Freedom,TRUE,NA
Income_share_bottom50_WID,heritage_Labor.Freedom,TRUE,NA
Income_share_bottom50_WID,heritage_Monetary.Freedom,TRUE,NA
Income_share_bottom50_WID,heritage_Trade.Freedom,TRUE,NA
Income_share_bottom50_WID,heritage_Investment.Freedom,TRUE,NA
Income_share_bottom50_WID,heritage_Financial.Freedom,TRUE,NA
log_under5_mort,fraser_SizeGov,TRUE,NA
log_under5_mort,fraser_LegalSystem,TRUE,NA
log_under5_mort,fraser_SoundMoney,TRUE,NA
log_under5_mort,fraser_FreeTrade,TRUE,NA
log_under5_mort,fraser_Regulation,TRUE,NA
log_under5_mort,heritage_Property.Rights,TRUE,NA
log_under5_mort,heritage_Government.Integrity,TRUE,NA
log_under5_mort,heritage_Judicial.Effectiveness,TRUE,NA
log_under5_mort,heritage_Tax.Burden,TRUE,NA
log_under5_mort,heritage_Government.Spending,TRUE,NA
log_under5_mort,heritage_Fiscal.Health,TRUE,NA
log_under5_mort,heritage_Business.Freedom,TRUE,NA
log_under5_mort,heritage_Labor.Freedom,TRUE,NA
log_under5_mort,heritage_Monetary.Freedom,TRUE,NA
log_under5_mort,heritage_Trade.Freedom,TRUE,NA
log_under5_mort,heritage_Investment.Freedom,TRUE,NA
log_under5_mort,heritage_Financial.Freedom,TRUE,NA
