sd_mult_shock,policy_component,ISO3,first_treat_year
1.5,fraser_SizeGov,AGO,2004
1.5,fraser_SizeGov,ARE,2002
1.5,fraser_SizeGov,ARM,2004
1.5,fraser_SizeGov,BDI,2005
1.5,fraser_SizeGov,BFA,2001
1.5,fraser_SizeGov,BGR,2016
1.5,fraser_SizeGov,BIH,2001
1.5,fraser_SizeGov,BLZ,2004
1.5,fraser_SizeGov,BRN,2011
1.5,fraser_SizeGov,BTN,2001
1.5,fraser_SizeGov,BWA,2010
1.5,fraser_SizeGov,CAF,2003
1.5,fraser_SizeGov,CIV,2015
1.5,fraser_SizeGov,CMR,2010
1.5,fraser_SizeGov,COG,2012
1.5,fraser_SizeGov,COL,2004
1.5,fraser_SizeGov,COM,2009
1.5,fraser_SizeGov,CPV,2001
1.5,fraser_SizeGov,CZE,2007
1.5,fraser_SizeGov,DJI,2006
1.5,fraser_SizeGov,DZA,2013
1.5,fraser_SizeGov,FJI,2005
1.5,fraser_SizeGov,FRA,2007
1.5,fraser_SizeGov,GAB,2014
1.5,fraser_SizeGov,GEO,2010
1.5,fraser_SizeGov,GHA,2006
1.5,fraser_SizeGov,GIN,2003
1.5,fraser_SizeGov,GMB,2004
1.5,fraser_SizeGov,GNB,2012
1.5,fraser_SizeGov,GRC,2018
1.5,fraser_SizeGov,GTM,2013
1.5,fraser_SizeGov,GUY,2005
1.5,fraser_SizeGov,HRV,2001
1.5,fraser_SizeGov,HTI,2003
1.5,fraser_SizeGov,HUN,2016
1.5,fraser_SizeGov,IRN,2001
1.5,fraser_SizeGov,IRQ,2006
1.5,fraser_SizeGov,JOR,2010
1.5,fraser_SizeGov,KEN,2004
1.5,fraser_SizeGov,KHM,2003
1.5,fraser_SizeGov,LAO,2002
1.5,fraser_SizeGov,LBR,2003
1.5,fraser_SizeGov,LBY,2011
1.5,fraser_SizeGov,LKA,2010
1.5,fraser_SizeGov,LSO,2003
1.5,fraser_SizeGov,MDG,2021
1.5,fraser_SizeGov,MLI,2003
1.5,fraser_SizeGov,MMR,2008
1.5,fraser_SizeGov,MNE,2006
1.5,fraser_SizeGov,MNG,2017
