component,n_treated_1_5_sd,n_treated_1_0_sd
fraser_SizeGov,75,117
fraser_LegalSystem,112,146
fraser_SoundMoney,96,120
fraser_FreeTrade,105,136
fraser_Regulation,103,146
heritage_Property.Rights,147,172
heritage_Government.Integrity,125,168
heritage_Judicial.Effectiveness,62,92
heritage_Tax.Burden,110,139
heritage_Government.Spending,104,143
heritage_Fiscal.Health,30,48
heritage_Business.Freedom,133,164
heritage_Labor.Freedom,91,135
heritage_Monetary.Freedom,78,125
heritage_Trade.Freedom,113,134
heritage_Investment.Freedom,155,155
heritage_Financial.Freedom,130,130
