component,outcome,att,se,p_value,fdr_bh,reject_bh_05
fraser_SizeGov,Gini_SWIID,-1.0568971069705357,0.404895285391114,0.009046354159825219,0.20505069428937164,FALSE
fraser_SizeGov,log_under5_mort,-0.009930354326797274,0.03805539186155598,0.7941351223507555,0.9473892687693223,FALSE
fraser_LegalSystem,Gini_SWIID,0.5871746552859822,0.5984375378546883,0.3265042224159385,0.7675113845652836,FALSE
fraser_LegalSystem,log_under5_mort,-0.04041646689918008,0.035806084582520624,0.258999198392012,0.7675113845652836,FALSE
fraser_SoundMoney,Gini_SWIID,0.2124974130370604,0.5669564449555076,0.7078064102183943,0.8751061071791056,FALSE
fraser_SoundMoney,log_under5_mort,-0.058262176224484194,0.037602235589902645,0.1212774646019357,0.4436358735295336,FALSE
fraser_FreeTrade,Gini_SWIID,-0.5111760397524749,0.6171991116015862,0.4075464774737183,0.7698100130059123,FALSE
fraser_FreeTrade,log_under5_mort,0.04234619079596975,0.03241079851880455,0.19136703428988336,0.6506479165856034,FALSE
fraser_Regulation,Gini_SWIID,0.2664566674914919,0.5714636026185587,0.6410218319158068,0.838259318659132,FALSE
fraser_Regulation,log_under5_mort,-0.006170675592998881,0.035534732669984824,0.8621390026259941,0.9522953132844,FALSE
heritage_Property.Rights,Gini_SWIID,-1.0780978855786112,0.47055822662562374,0.021957393177925704,0.2736722311029362,FALSE
heritage_Property.Rights,log_under5_mort,-0.09920088149572592,0.04379481998108396,0.02350481393258015,0.2736722311029362,FALSE
heritage_Government.Integrity,Gini_SWIID,-0.7183603864968106,0.46696068051131334,0.12395708230972262,0.4436358735295336,FALSE
heritage_Government.Integrity,log_under5_mort,-0.1257772818195152,0.047957709705200705,0.00872435420895706,0.20505069428937164,FALSE
heritage_Judicial.Effectiveness,Gini_SWIID,0.3020246156181141,0.4281336754367294,0.4805335588129891,0.7910164519200658,FALSE
heritage_Judicial.Effectiveness,log_under5_mort,0.007112779611809173,0.012339882500633418,0.5643409377418506,0.810122332539856,FALSE
heritage_Tax.Burden,Gini_SWIID,0.42387963239327825,0.5088442847394453,0.40483104875822623,0.7698100130059123,FALSE
heritage_Tax.Burden,log_under5_mort,0.028442226602986096,0.049656422846653225,0.5667933798263486,0.810122332539856,FALSE
heritage_Government.Spending,Gini_SWIID,-0.09214583085668263,0.5194895786247352,0.8592117764788029,0.9522953132844,FALSE
heritage_Government.Spending,log_under5_mort,-0.07667950016222552,0.04827669655317975,0.11221091914898301,0.4436358735295336,FALSE
heritage_Fiscal.Health,Gini_SWIID,-0.4788351132060501,0.827739404656275,0.5629364902952436,0.810122332539856,FALSE
heritage_Fiscal.Health,log_under5_mort,-0.009892209035517931,0.019666567495126592,0.6149669324513906,0.8363550281338912,FALSE
heritage_Business.Freedom,Gini_SWIID,1.002388093473598,0.5226979323684088,0.055146569355968636,0.3190399320686017,FALSE
heritage_Business.Freedom,log_under5_mort,-0.04551065596995726,0.04202358062552228,0.2788177374605133,0.7675113845652836,FALSE
heritage_Labor.Freedom,Gini_SWIID,0.005280876056660926,0.683913223132474,0.9938391487972288,0.9938391487972288,FALSE
heritage_Labor.Freedom,log_under5_mort,-0.010287192206877963,0.03224003409046897,0.7496648584142663,0.9103073280744662,FALSE
heritage_Monetary.Freedom,Gini_SWIID,0.3316496037733177,0.6053169860660056,0.5837646219772492,0.810122332539856,FALSE
heritage_Monetary.Freedom,log_under5_mort,-0.09968895839781691,0.05209351595468308,0.05566439697040138,0.3190399320686017,FALSE
heritage_Trade.Freedom,Gini_SWIID,-0.3493613619909453,0.5182075864556809,0.5002015798906299,0.7910164519200658,FALSE
heritage_Trade.Freedom,log_under5_mort,0.006731488668204613,0.05956318559893783,0.9100192587912612,0.9586811741402962,FALSE
heritage_Investment.Freedom,Gini_SWIID,0.43878521929075653,0.5610078695355079,0.434133847116683,0.7710395313008045,FALSE
heritage_Investment.Freedom,log_under5_mort,0.05924936459200145,0.07742106140930177,0.44410041144185636,0.7710395313008045,FALSE
heritage_Financial.Freedom,Gini_SWIID,0.6823591173831262,0.6869720384794564,0.3205710171848688,0.7675113845652836,FALSE
heritage_Financial.Freedom,log_under5_mort,-0.0024612497068374445,0.05575139806986165,0.9647873325524173,0.9938391487972288,FALSE
