outcome_label,component,coef,se,p_value,stars,coef_latex,n,r2_within
GDP_per_capita_growth,fraser_SizeGov,-0.16188698602764814,0.16472855317441001,0.3272050057339112,,$-0.162$,3672,4.768847237409668e-4
Gini_SWIID,fraser_SizeGov,0.07952046602587974,0.12755696334006647,0.5339074596369467,,$0.080$,3390,0.001125129168939032
Income_share_bottom50_WID,fraser_SizeGov,-0.006318736507163371,0.07720389408991622,0.9348705514506109,,$-0.006$,3882,1.327854626598235e-5
log_under5_mort,fraser_SizeGov,0.008606797340690643,0.010153539249228795,0.39787532599421005,,$0.009$,3858,9.522543143247741e-4
GDP_per_capita_growth,fraser_LegalSystem,0.4395355184247554,0.3228896105329741,0.17533483970831656,,$0.440$,3669,6.473102490387461e-4
Gini_SWIID,fraser_LegalSystem,0.35323121125832024,0.30369053157636083,0.24653087014665687,,$0.353$,3364,0.0038851899109805244
Income_share_bottom50_WID,fraser_LegalSystem,0.15279825886018905,0.15976878093033114,0.3403010111459511,,$0.153$,3876,0.0013577933773144535
log_under5_mort,fraser_LegalSystem,-0.05129612682698215,0.035875892699081535,0.1546939441735179,,$-0.051$,3852,0.005749773101420552
GDP_per_capita_growth,fraser_SoundMoney,0.05415049771858641,0.1113053901029814,0.627271587045331,,$0.054$,3712,1.3736547415610367e-4
Gini_SWIID,fraser_SoundMoney,-0.01617504432408497,0.07780917339205175,0.8355879606114187,,$-0.016$,3374,1.2983626135820714e-4
Income_share_bottom50_WID,fraser_SoundMoney,-0.004611259390087082,0.047509091532368375,0.9227975360106908,,$-0.005$,3894,1.8900115101860848e-5
log_under5_mort,fraser_SoundMoney,-0.030097709194887867,0.007378222056912125,7.0712312963448e-5,***,$-0.030^{***}$,3870,0.03050035636644166
GDP_per_capita_growth,fraser_FreeTrade,0.2883995387583848,0.38196825184218597,0.4513308455655104,,$0.288$,3355,0.0011647122964195677
Gini_SWIID,fraser_FreeTrade,0.26483580231009685,0.163371842315563,0.10702396791911094,,$0.265$,3061,0.007874786326055538
Income_share_bottom50_WID,fraser_FreeTrade,-0.03583754923890875,0.09879697542585149,0.7172695364679316,,$-0.036$,3502,2.9506640758736324e-4
log_under5_mort,fraser_FreeTrade,-0.038000035432941094,0.015065859703140942,0.012625119513755455,*,$-0.038^{*}$,3478,0.013157359548245817
GDP_per_capita_growth,fraser_Regulation,0.7408383079223579,0.24543571813796175,0.002954614710736114,**,$0.741^{**}$,3712,0.004499043476186015
Gini_SWIID,fraser_Regulation,0.18347709568982953,0.1939819145087121,0.3456621060226811,,$0.183$,3391,0.003128361578761285
Income_share_bottom50_WID,fraser_Regulation,0.010243836634282992,0.11292613172939926,0.927832239691784,,$0.010$,3914,1.7600384909499667e-5
log_under5_mort,fraser_Regulation,-0.04798674525085894,0.02346780594948993,0.04249379402204829,*,$-0.048^{*}$,3890,0.01455234199215294
GDP_per_capita_growth,heritage_Property.Rights,-0.028836559678165372,0.009592261860084316,0.00302743629131968,**,$-0.029^{**}$,4389,0.003056115293575856
Gini_SWIID,heritage_Property.Rights,0.032091226409314125,0.010377865723834147,0.0023140628680700936,**,$0.032^{**}$,3910,0.02863800541482664
Income_share_bottom50_WID,heritage_Property.Rights,-0.0183842780663677,0.0053714666983153275,7.661346304182881e-4,***,$-0.018^{***}$,4617,0.01785785648477478
log_under5_mort,heritage_Property.Rights,-0.0034304845352850087,0.0010541324983274212,0.0013564505806922132,**,$-0.003^{**}$,4589,0.024409791809276715
GDP_per_capita_growth,heritage_Government.Integrity,-0.013906326207672341,0.011488954633760439,0.22772707680927937,,$-0.014$,4405,5.599370506937928e-4
Gini_SWIID,heritage_Government.Integrity,0.007944705339713153,0.009056413376710789,0.38155555995823154,,$0.008$,3921,0.0014099519525825333
Income_share_bottom50_WID,heritage_Government.Integrity,-0.0034712896890339347,0.006544872375747559,0.5964928664716693,,$-0.003$,4633,5.185138336057937e-4
log_under5_mort,heritage_Government.Integrity,-0.0054701671597891304,0.0011510896671825693,4.0876094475873146e-6,***,$-0.005^{***}$,4605,0.050493553901191035
GDP_per_capita_growth,heritage_Judicial.Effectiveness,0.017483916316788792,0.01688729921996166,0.3019196365264954,,$0.017$,1064,8.578405491456165e-4
Gini_SWIID,heritage_Judicial.Effectiveness,-0.002844805821817018,0.0038348209029469746,0.45944775735473575,,$-0.003$,738,0.0022617746090564106
Income_share_bottom50_WID,heritage_Judicial.Effectiveness,0.0016851149956986992,0.0016776981669610537,0.3165093436390915,,$0.002$,1087,8.862412214001303e-4
log_under5_mort,heritage_Judicial.Effectiveness,1.5554129137781349e-4,5.310696433523872e-4,0.7699470499546779,,$0.000$,1085,2.6821326537740386e-4
GDP_per_capita_growth,heritage_Tax.Burden,0.0025558652823236406,0.01998455389618442,0.8983796022763417,,$0.003$,4373,1.3236892063117622e-5
Gini_SWIID,heritage_Tax.Burden,0.03827689426967471,0.01569033824375587,0.015710389463474216,*,$0.038^{*}$,3901,0.02362065933382773
Income_share_bottom50_WID,heritage_Tax.Burden,-0.0065797863240969635,0.008270961639499055,0.4273481225816511,,$-0.007$,4596,0.0012612645581372428
log_under5_mort,heritage_Tax.Burden,0.0010211882761094837,0.001564661799155908,0.5148097602551647,,$0.001$,4567,0.0012018792901566933
GDP_per_capita_growth,heritage_Government.Spending,0.004336508393427076,0.012248676940196872,0.7237311031927443,,$0.004$,4385,9.738519258106759e-5
Gini_SWIID,heritage_Government.Spending,0.020449292944218635,0.008394502190915351,0.01585160597010923,*,$0.020^{*}$,3911,0.014959047867966202
Income_share_bottom50_WID,heritage_Government.Spending,-0.006057026062578998,0.004446080199137104,0.17478677477966256,,$-0.006$,4612,0.0027010614075615447
log_under5_mort,heritage_Government.Spending,0.001233719489702249,7.443189248466769e-4,0.09915730874572988,,$0.001$,4584,0.004459739361757031
GDP_per_capita_growth,heritage_Fiscal.Health,-0.0240759627222186,0.00970571867075236,0.014050426396090353,*,$-0.024^{*}$,1056,0.005480249909906476
Gini_SWIID,heritage_Fiscal.Health,1.6041603198556264e-4,0.0018486888852639572,0.9309778355743126,,$0.000$,735,2.0722960928476475e-5
Income_share_bottom50_WID,heritage_Fiscal.Health,0.002029283689779232,0.0015367204170201577,0.18832581159704598,,$0.002$,1079,0.004437728928074924
log_under5_mort,heritage_Fiscal.Health,8.427454572616528e-5,2.1777832741876516e-4,0.6992325944810869,,$0.000$,1077,2.731782129893334e-4
GDP_per_capita_growth,heritage_Business.Freedom,-0.023267320061764827,0.0131195613534135,0.07785862147228965,,$-0.023$,4399,0.0016142581924015742
Gini_SWIID,heritage_Business.Freedom,0.024149017935861224,0.010088624579875274,0.0177374301405029,*,$0.024^{*}$,3921,0.013368618502042517
Income_share_bottom50_WID,heritage_Business.Freedom,-0.00849065803290755,0.006874254122733619,0.21836225808234977,,$-0.008$,4629,0.0032216181341625516
log_under5_mort,heritage_Business.Freedom,-0.004156528332605363,0.0013768597286386035,0.0029037250825402552,**,$-0.004^{**}$,4599,0.03043165932247216
GDP_per_capita_growth,heritage_Labor.Freedom,-0.02364547050285147,0.01653393336204341,0.1544460930389022,,$-0.024$,3059,0.0011396628811483067
Gini_SWIID,heritage_Labor.Freedom,9.317545980377287e-5,0.010112585479803784,0.9926592862383621,,$0.000$,2621,2.646960545193977e-7
Income_share_bottom50_WID,heritage_Labor.Freedom,0.006328377225727785,0.005876744849124668,0.28298011284907904,,$0.006$,3143,0.0020728471823189265
log_under5_mort,heritage_Labor.Freedom,-0.0019143309856638664,7.979907614267756e-4,0.017463807855662473,*,$-0.002^{*}$,3125,0.007987802536100319
GDP_per_capita_growth,heritage_Monetary.Freedom,0.0034731510172358792,0.01079717512878245,0.7480806031049696,,$0.003$,4390,5.254234139473457e-5
Gini_SWIID,heritage_Monetary.Freedom,0.006637208003111263,0.010093101393433923,0.511660201105453,,$0.007$,3915,0.001644774028026319
Income_share_bottom50_WID,heritage_Monetary.Freedom,-0.0010253751246993364,0.0054659875615677735,0.8514066857634692,,$-0.001$,4619,7.014072649824676e-5
log_under5_mort,heritage_Monetary.Freedom,-0.004317540675385842,8.697544372564366e-4,1.5934800230160027e-6,***,$-0.004^{***}$,4590,0.04912762063788434
GDP_per_capita_growth,heritage_Trade.Freedom,0.0010633193031234975,0.012499419086320022,0.9323022854982396,,$0.001$,4372,3.3413601173704066e-6
Gini_SWIID,heritage_Trade.Freedom,0.01166224517305319,0.00999820454653715,0.24504447461070628,,$0.012$,3901,0.0031431688860750207
Income_share_bottom50_WID,heritage_Trade.Freedom,-0.004875842200755008,0.007450949159287658,0.5136853109187112,,$-0.005$,4606,9.915039962800076e-4
log_under5_mort,heritage_Trade.Freedom,1.1564888012672423e-4,0.0011047436283927407,0.916743187674327,,$0.000$,4569,2.1983191947017033e-5
GDP_per_capita_growth,heritage_Investment.Freedom,-0.006312112497549506,0.008256869617646342,0.4456063687093519,,$-0.006$,4385,1.9075372621424336e-4
Gini_SWIID,heritage_Investment.Freedom,0.02323651461592098,0.01181411648583805,0.050791437474393804,,$0.023$,3911,0.02158080034456422
Income_share_bottom50_WID,heritage_Investment.Freedom,-0.005912759817081402,0.005198125116618028,0.25683324856964573,,$-0.006$,4618,0.002405143193306869
log_under5_mort,heritage_Investment.Freedom,-3.23229174768448e-4,9.953076073447621e-4,0.7457451013890075,,$-0.000$,4582,2.8220721507254964e-4
GDP_per_capita_growth,heritage_Financial.Freedom,-0.03270223700874662,0.012089732270921232,0.007498647217868584,**,$-0.033^{**}$,4364,0.003914551946294864
Gini_SWIID,heritage_Financial.Freedom,0.025171150321695958,0.009588476465842787,0.009436800281162143,**,$0.025^{**}$,3897,0.019633823373283232
Income_share_bottom50_WID,heritage_Financial.Freedom,-0.01112094019315053,0.005879650139866133,0.060155479467239474,,$-0.011$,4599,0.006348117611814863
log_under5_mort,heritage_Financial.Freedom,-0.001382860640118527,0.0012299631509675303,0.26237837630579647,,$-0.001$,4559,0.003870538355986941
