component,outcome,outcome_col,p_value
fraser_SizeGov,GDP_per_capita_growth,GDP_per_capita_growth,0.004603161524365297
fraser_SizeGov,Gini_SWIID,Gini_SWIID,1.690787520155497e-55
fraser_SizeGov,Income_share_bottom50_WID,Income_share_bottom50_WID,6.987079292588199e-53
fraser_SizeGov,log_under5_mort,log_under5_mort,1.3113070196118769e-25
fraser_LegalSystem,GDP_per_capita_growth,GDP_per_capita_growth,0.050668513844878624
fraser_LegalSystem,Gini_SWIID,Gini_SWIID,1.4111812234381742e-203
fraser_LegalSystem,Income_share_bottom50_WID,Income_share_bottom50_WID,1.410324003676602e-274
fraser_LegalSystem,log_under5_mort,log_under5_mort,0
fraser_SoundMoney,GDP_per_capita_growth,GDP_per_capita_growth,0.44604915658349464
fraser_SoundMoney,Gini_SWIID,Gini_SWIID,1.295038228691702e-48
fraser_SoundMoney,Income_share_bottom50_WID,Income_share_bottom50_WID,1.234928379093618e-56
fraser_SoundMoney,log_under5_mort,log_under5_mort,1.6536188087380163e-150
fraser_FreeTrade,GDP_per_capita_growth,GDP_per_capita_growth,1.954341896581929e-4
fraser_FreeTrade,Gini_SWIID,Gini_SWIID,9.69893780192738e-108
fraser_FreeTrade,Income_share_bottom50_WID,Income_share_bottom50_WID,4.1389646796572714e-108
fraser_FreeTrade,log_under5_mort,log_under5_mort,6.897e-321
fraser_Regulation,GDP_per_capita_growth,GDP_per_capita_growth,0.0046640883388506076
fraser_Regulation,Gini_SWIID,Gini_SWIID,4.521842548351002e-90
fraser_Regulation,Income_share_bottom50_WID,Income_share_bottom50_WID,3.074450528180499e-111
fraser_Regulation,log_under5_mort,log_under5_mort,0
heritage_Property.Rights,GDP_per_capita_growth,GDP_per_capita_growth,1.5374985812490256e-5
heritage_Property.Rights,Gini_SWIID,Gini_SWIID,4.873431255174132e-118
heritage_Property.Rights,Income_share_bottom50_WID,Income_share_bottom50_WID,2.2321892614548648e-139
heritage_Property.Rights,log_under5_mort,log_under5_mort,2.218673621381316e-270
heritage_Government.Integrity,GDP_per_capita_growth,GDP_per_capita_growth,4.4908481187661484e-5
heritage_Government.Integrity,Gini_SWIID,Gini_SWIID,5.973781712444066e-160
heritage_Government.Integrity,Income_share_bottom50_WID,Income_share_bottom50_WID,1.031367773505456e-177
heritage_Government.Integrity,log_under5_mort,log_under5_mort,0
heritage_Judicial.Effectiveness,GDP_per_capita_growth,GDP_per_capita_growth,0.010140381760796385
heritage_Judicial.Effectiveness,Gini_SWIID,Gini_SWIID,1.7046106554635448e-27
heritage_Judicial.Effectiveness,Income_share_bottom50_WID,Income_share_bottom50_WID,4.662695087946785e-38
heritage_Judicial.Effectiveness,log_under5_mort,log_under5_mort,8.102126551791175e-49
heritage_Tax.Burden,GDP_per_capita_growth,GDP_per_capita_growth,0.22439007712487216
heritage_Tax.Burden,Gini_SWIID,Gini_SWIID,7.018284766348197e-48
heritage_Tax.Burden,Income_share_bottom50_WID,Income_share_bottom50_WID,9.691683467901808e-79
heritage_Tax.Burden,log_under5_mort,log_under5_mort,1.7821251966390449e-4
heritage_Government.Spending,GDP_per_capita_growth,GDP_per_capita_growth,0.003953108669385055
heritage_Government.Spending,Gini_SWIID,Gini_SWIID,4.6066672248666227e-266
heritage_Government.Spending,Income_share_bottom50_WID,Income_share_bottom50_WID,7.573822888330675e-249
heritage_Government.Spending,log_under5_mort,log_under5_mort,2.899438502097792e-232
heritage_Fiscal.Health,GDP_per_capita_growth,GDP_per_capita_growth,0.9396477502976266
heritage_Fiscal.Health,Gini_SWIID,Gini_SWIID,3.0083299426606217e-14
heritage_Fiscal.Health,Income_share_bottom50_WID,Income_share_bottom50_WID,9.465890814846758e-22
heritage_Fiscal.Health,log_under5_mort,log_under5_mort,4.1278089380615183e-10
heritage_Business.Freedom,GDP_per_capita_growth,GDP_per_capita_growth,0.013415687887835244
heritage_Business.Freedom,Gini_SWIID,Gini_SWIID,1.2925317250667524e-94
heritage_Business.Freedom,Income_share_bottom50_WID,Income_share_bottom50_WID,2.3443424091534125e-97
heritage_Business.Freedom,log_under5_mort,log_under5_mort,2.1473103455718697e-252
heritage_Labor.Freedom,GDP_per_capita_growth,GDP_per_capita_growth,0.6298818224627702
heritage_Labor.Freedom,Gini_SWIID,Gini_SWIID,6.352539565892293e-10
heritage_Labor.Freedom,Income_share_bottom50_WID,Income_share_bottom50_WID,1.1959813970645119e-9
heritage_Labor.Freedom,log_under5_mort,log_under5_mort,5.504830639625224e-59
heritage_Monetary.Freedom,GDP_per_capita_growth,GDP_per_capita_growth,0.01962499495752293
heritage_Monetary.Freedom,Gini_SWIID,Gini_SWIID,3.05328222782776e-12
heritage_Monetary.Freedom,Income_share_bottom50_WID,Income_share_bottom50_WID,1.5471632061793408e-18
heritage_Monetary.Freedom,log_under5_mort,log_under5_mort,1.0438479669760601e-86
heritage_Trade.Freedom,GDP_per_capita_growth,GDP_per_capita_growth,0.13540441340846715
heritage_Trade.Freedom,Gini_SWIID,Gini_SWIID,3.388059994538466e-101
heritage_Trade.Freedom,Income_share_bottom50_WID,Income_share_bottom50_WID,5.768605282291929e-91
heritage_Trade.Freedom,log_under5_mort,log_under5_mort,1.0984734867327823e-154
heritage_Investment.Freedom,GDP_per_capita_growth,GDP_per_capita_growth,0.14089888135685247
heritage_Investment.Freedom,Gini_SWIID,Gini_SWIID,6.6908385070944994e-40
heritage_Investment.Freedom,Income_share_bottom50_WID,Income_share_bottom50_WID,5.991374370323222e-60
heritage_Investment.Freedom,log_under5_mort,log_under5_mort,2.41268443569727e-147
heritage_Financial.Freedom,GDP_per_capita_growth,GDP_per_capita_growth,0.07671608651756155
heritage_Financial.Freedom,Gini_SWIID,Gini_SWIID,1.2838185189829186e-32
heritage_Financial.Freedom,Income_share_bottom50_WID,Income_share_bottom50_WID,2.096346166069834e-59
heritage_Financial.Freedom,log_under5_mort,log_under5_mort,8.93514488990081e-134
