component,outcome,outcome_col,p_value
fraser_SizeGov,GDP_per_capita_growth,GDP_per_capita_growth,0.3272050057339112
fraser_SizeGov,Gini_SWIID,Gini_SWIID,0.5339074596369467
fraser_SizeGov,Income_share_bottom50_WID,Income_share_bottom50_WID,0.9348705514506109
fraser_SizeGov,log_under5_mort,log_under5_mort,0.39787532599421005
fraser_LegalSystem,GDP_per_capita_growth,GDP_per_capita_growth,0.17533483970831656
fraser_LegalSystem,Gini_SWIID,Gini_SWIID,0.24653087014665687
fraser_LegalSystem,Income_share_bottom50_WID,Income_share_bottom50_WID,0.3403010111459511
fraser_LegalSystem,log_under5_mort,log_under5_mort,0.1546939441735179
fraser_SoundMoney,GDP_per_capita_growth,GDP_per_capita_growth,0.627271587045331
fraser_SoundMoney,Gini_SWIID,Gini_SWIID,0.8355879606114187
fraser_SoundMoney,Income_share_bottom50_WID,Income_share_bottom50_WID,0.9227975360106908
fraser_SoundMoney,log_under5_mort,log_under5_mort,7.0712312963448e-5
fraser_FreeTrade,GDP_per_capita_growth,GDP_per_capita_growth,0.4513308455655104
fraser_FreeTrade,Gini_SWIID,Gini_SWIID,0.10702396791911094
fraser_FreeTrade,Income_share_bottom50_WID,Income_share_bottom50_WID,0.7172695364679316
fraser_FreeTrade,log_under5_mort,log_under5_mort,0.012625119513755455
fraser_Regulation,GDP_per_capita_growth,GDP_per_capita_growth,0.002954614710736114
fraser_Regulation,Gini_SWIID,Gini_SWIID,0.3456621060226811
fraser_Regulation,Income_share_bottom50_WID,Income_share_bottom50_WID,0.927832239691784
fraser_Regulation,log_under5_mort,log_under5_mort,0.04249379402204829
heritage_Property.Rights,GDP_per_capita_growth,GDP_per_capita_growth,0.00302743629131968
heritage_Property.Rights,Gini_SWIID,Gini_SWIID,0.0023140628680700936
heritage_Property.Rights,Income_share_bottom50_WID,Income_share_bottom50_WID,7.661346304182881e-4
heritage_Property.Rights,log_under5_mort,log_under5_mort,0.0013564505806922132
heritage_Government.Integrity,GDP_per_capita_growth,GDP_per_capita_growth,0.22772707680927937
heritage_Government.Integrity,Gini_SWIID,Gini_SWIID,0.38155555995823154
heritage_Government.Integrity,Income_share_bottom50_WID,Income_share_bottom50_WID,0.5964928664716693
heritage_Government.Integrity,log_under5_mort,log_under5_mort,4.0876094475873146e-6
heritage_Judicial.Effectiveness,GDP_per_capita_growth,GDP_per_capita_growth,0.3019196365264954
heritage_Judicial.Effectiveness,Gini_SWIID,Gini_SWIID,0.45944775735473575
heritage_Judicial.Effectiveness,Income_share_bottom50_WID,Income_share_bottom50_WID,0.3165093436390915
heritage_Judicial.Effectiveness,log_under5_mort,log_under5_mort,0.7699470499546779
heritage_Tax.Burden,GDP_per_capita_growth,GDP_per_capita_growth,0.8983796022763417
heritage_Tax.Burden,Gini_SWIID,Gini_SWIID,0.015710389463474216
heritage_Tax.Burden,Income_share_bottom50_WID,Income_share_bottom50_WID,0.4273481225816511
heritage_Tax.Burden,log_under5_mort,log_under5_mort,0.5148097602551647
heritage_Government.Spending,GDP_per_capita_growth,GDP_per_capita_growth,0.7237311031927443
heritage_Government.Spending,Gini_SWIID,Gini_SWIID,0.01585160597010923
heritage_Government.Spending,Income_share_bottom50_WID,Income_share_bottom50_WID,0.17478677477966256
heritage_Government.Spending,log_under5_mort,log_under5_mort,0.09915730874572988
