component,outcome,outcome_col,att,se,p_value
fraser_SizeGov,GDP_per_capita_growth,GDP_per_capita_growth,0.9066449628888794,0.5315966354526748,0.08809879320111774
fraser_SizeGov,Gini_SWIID,Gini_SWIID,-0.5409049859422144,0.533568714837081,0.31070232630564537
fraser_SizeGov,Income_share_bottom50_WID,Income_share_bottom50_WID,0.7643271437850393,0.22746223597080173,7.787548492694844e-4
fraser_SizeGov,log_under5_mort,log_under5_mort,0.0021160567385024786,0.040512798552792724,0.9583439879462418
fraser_LegalSystem,GDP_per_capita_growth,GDP_per_capita_growth,0.03646870697161547,0.9327378016088932,0.9688118072761095
fraser_LegalSystem,Gini_SWIID,Gini_SWIID,0.48101116675436756,0.8451404326062806,0.5692547588976357
fraser_LegalSystem,Income_share_bottom50_WID,Income_share_bottom50_WID,0.308063446615497,0.27676755095693334,0.26567559153668313
fraser_LegalSystem,log_under5_mort,log_under5_mort,-0.09441657015107108,0.04399652420799496,0.03187292574359457
fraser_SoundMoney,GDP_per_capita_growth,GDP_per_capita_growth,0.09204324175330623,0.662198295664434,0.8894529191522711
fraser_SoundMoney,Gini_SWIID,Gini_SWIID,-0.3547889702060491,0.5692821005813264,0.5331388301165669
fraser_SoundMoney,Income_share_bottom50_WID,Income_share_bottom50_WID,0.5248379494557712,0.2512132954950532,0.036688601452724144
fraser_SoundMoney,log_under5_mort,log_under5_mort,-0.014963869572281598,0.04180989480853877,0.7204162136102286
fraser_FreeTrade,GDP_per_capita_growth,GDP_per_capita_growth,0.8729224263252388,0.7444396563679002,0.2409602993856497
fraser_FreeTrade,Gini_SWIID,Gini_SWIID,-0.9104326012518065,0.5952013875725246,0.12611054352816098
fraser_FreeTrade,Income_share_bottom50_WID,Income_share_bottom50_WID,-0.19684082382567572,0.2572188580712968,0.4441132184623383
fraser_FreeTrade,log_under5_mort,log_under5_mort,-7.535387955160853e-4,0.03817054884941889,0.9842496914817271
fraser_Regulation,GDP_per_capita_growth,GDP_per_capita_growth,1.1021823297800384,0.8169230512327278,0.17727676423013033
fraser_Regulation,Gini_SWIID,Gini_SWIID,0.7727077215521285,0.6012073924285012,0.19870149627806524
fraser_Regulation,Income_share_bottom50_WID,Income_share_bottom50_WID,0.5574587023356122,0.30003128563637155,0.063168742806823025
fraser_Regulation,log_under5_mort,log_under5_mort,3.050021982179003e-4,0.05141661763704363,0.9952669948172185
heritage_Property.Rights,GDP_per_capita_growth,GDP_per_capita_growth,0.15258823001350025,0.6960037907501825,0.8264671727770664
heritage_Property.Rights,Gini_SWIID,Gini_SWIID,-0.9773313112279342,0.5446293064427536,0.07273514935135003
heritage_Property.Rights,Income_share_bottom50_WID,Income_share_bottom50_WID,0.2305976923076923,0.3829112363922176,0.5470261617359196
heritage_Property.Rights,log_under5_mort,log_under5_mort,-0.09536367478865378,0.05938534395842865,0.10830790716326628
heritage_Government.Integrity,GDP_per_capita_growth,GDP_per_capita_growth,0.10015117836165235,0.8243537524631073,0.9033025112012423
heritage_Government.Integrity,Gini_SWIID,Gini_SWIID,-0.027970400250488227,0.49692991604602693,0.9551136461153612
heritage_Government.Integrity,Income_share_bottom50_WID,Income_share_bottom50_WID,0.3947855848407867,0.3651036444174082,0.2795648881905376
heritage_Government.Integrity,log_under5_mort,log_under5_mort,-0.12700474614269663,0.05927647288428542,0.03214662041692586
heritage_Judicial.Effectiveness,GDP_per_capita_growth,GDP_per_capita_growth,-0.6719713351413276,0.600018141560792,0.26274855213296305
heritage_Judicial.Effectiveness,Gini_SWIID,Gini_SWIID,1.3090304466657103,0.8307773992858859,0.11510203512623873
heritage_Judicial.Effectiveness,Income_share_bottom50_WID,Income_share_bottom50_WID,0.11560091176939012,0.08785251721783009,0.18822371716267963
heritage_Judicial.Effectiveness,log_under5_mort,log_under5_mort,0.012699165451312791,0.014789892713909973,0.39054020836876174
heritage_Tax.Burden,GDP_per_capita_growth,GDP_per_capita_growth,-1.1515044516979176,0.3941954341597027,0.0034874057205705536
heritage_Tax.Burden,Gini_SWIID,Gini_SWIID,1.008129714528871,0.6029126495078074,0.09450477687891838
heritage_Tax.Burden,Income_share_bottom50_WID,Income_share_bottom50_WID,-0.057288494433384914,0.30229515057111417,0.849691717155739
heritage_Tax.Burden,log_under5_mort,log_under5_mort,-0.03682245678755877,0.069640939252961,0.5969807783121566
heritage_Government.Spending,GDP_per_capita_growth,GDP_per_capita_growth,-0.2123636213816347,0.435125395528936,0.6255133316086776
heritage_Government.Spending,Gini_SWIID,Gini_SWIID,0.2470123229361752,0.6802519173764984,0.7165160721979694
heritage_Government.Spending,Income_share_bottom50_WID,Income_share_bottom50_WID,0.23886014364935665,0.27673985905899096,0.3880706256011542
heritage_Government.Spending,log_under5_mort,log_under5_mort,0.04232402123972473,0.08672829709961828,0.625544840742174
heritage_Fiscal.Health,GDP_per_capita_growth,GDP_per_capita_growth,-0.4553069404120741,0.39388919880842704,0.2477112456154063
heritage_Fiscal.Health,Gini_SWIID,Gini_SWIID,0.2500509037092678,0.4797709318461388,0.6022357383299244
heritage_Fiscal.Health,Income_share_bottom50_WID,Income_share_bottom50_WID,0.048857976913962264,0.11695698940663057,0.6761349466481823
heritage_Fiscal.Health,log_under5_mort,log_under5_mort,-4.437883938395432e-4,0.017445984242837807,0.979705718026871
heritage_Business.Freedom,GDP_per_capita_growth,GDP_per_capita_growth,-0.24893674826808332,0.6866630189651625,0.7169551344558567
heritage_Business.Freedom,Gini_SWIID,Gini_SWIID,0.6812839414480922,0.7378784931708341,0.3558503733840435
heritage_Business.Freedom,Income_share_bottom50_WID,Income_share_bottom50_WID,0.49057588169806954,0.3765550517178043,0.1926430867626466
heritage_Business.Freedom,log_under5_mort,log_under5_mort,-0.11339535411052476,0.06935671212751549,0.10205772318615465
heritage_Labor.Freedom,GDP_per_capita_growth,GDP_per_capita_growth,0.2079226341569181,0.6545909481850972,0.7507599231133566
heritage_Labor.Freedom,Gini_SWIID,Gini_SWIID,0.7679539401410759,0.5654130823659893,0.17439468095161326
heritage_Labor.Freedom,Income_share_bottom50_WID,Income_share_bottom50_WID,0.11722673745173746,0.15684704347240308,0.4548250033764044
heritage_Labor.Freedom,log_under5_mort,log_under5_mort,-0.024271325950558736,0.025827924641122872,0.3473550729929603
heritage_Monetary.Freedom,GDP_per_capita_growth,GDP_per_capita_growth,0.20962056578294336,0.6021670633800835,0.7277573384150977
heritage_Monetary.Freedom,Gini_SWIID,Gini_SWIID,-0.6468705387375624,0.6558735791450319,0.32399906348396446
heritage_Monetary.Freedom,Income_share_bottom50_WID,Income_share_bottom50_WID,0.7230285630107884,0.29651802330973165,0.014752575355232127
heritage_Monetary.Freedom,log_under5_mort,log_under5_mort,-0.028501077792104954,0.07303539611687289,0.6963616693926431
heritage_Trade.Freedom,GDP_per_capita_growth,GDP_per_capita_growth,0.035229922147087006,0.5806708501557213,0.951621171537737
heritage_Trade.Freedom,Gini_SWIID,Gini_SWIID,-0.7409497220370499,0.7164163685292557,0.3010218538229411
heritage_Trade.Freedom,Income_share_bottom50_WID,Income_share_bottom50_WID,0.14484034042491728,0.25921498825127115,0.5763219078338672
