component,outcome,outcome_col,p_value
fraser_SizeGov,GDP_per_capita_growth,GDP_per_capita_growth,0.004603161524365297
fraser_SizeGov,Gini_index,SI.POV.GINI,3.7617421148681514e-69
fraser_SizeGov,Income_share_bottom20,SI.DST.FRST.20,2.1181841708308138e-50
fraser_SizeGov,Poverty_headcount_LMIC_3.65,SI.POV.LMIC,4.0629455166372045e-28
fraser_LegalSystem,GDP_per_capita_growth,GDP_per_capita_growth,0.050668513844878624
fraser_LegalSystem,Gini_index,SI.POV.GINI,4.312369050078726e-83
fraser_LegalSystem,Income_share_bottom20,SI.DST.FRST.20,2.520207700564028e-53
fraser_LegalSystem,Poverty_headcount_LMIC_3.65,SI.POV.LMIC,5.507955670163169e-212
fraser_SoundMoney,GDP_per_capita_growth,GDP_per_capita_growth,0.44604915658349464
fraser_SoundMoney,Gini_index,SI.POV.GINI,4.229210169965921e-9
fraser_SoundMoney,Income_share_bottom20,SI.DST.FRST.20,0.014554009225648961
fraser_SoundMoney,Poverty_headcount_LMIC_3.65,SI.POV.LMIC,2.8005240509357483e-80
fraser_FreeTrade,GDP_per_capita_growth,GDP_per_capita_growth,1.954341896581929e-4
fraser_FreeTrade,Gini_index,SI.POV.GINI,6.26993074699409e-22
fraser_FreeTrade,Income_share_bottom20,SI.DST.FRST.20,7.48552663075092e-8
fraser_FreeTrade,Poverty_headcount_LMIC_3.65,SI.POV.LMIC,1.6315498485833486e-152
fraser_Regulation,GDP_per_capita_growth,GDP_per_capita_growth,0.0046640883388506076
fraser_Regulation,Gini_index,SI.POV.GINI,2.5401906550933505e-44
fraser_Regulation,Income_share_bottom20,SI.DST.FRST.20,9.946670794720388e-25
fraser_Regulation,Poverty_headcount_LMIC_3.65,SI.POV.LMIC,1.062591175005001e-115
heritage_Property.Rights,GDP_per_capita_growth,GDP_per_capita_growth,1.5374985812490256e-5
heritage_Property.Rights,Gini_index,SI.POV.GINI,1.2629929340368644e-50
heritage_Property.Rights,Income_share_bottom20,SI.DST.FRST.20,1.258060304134434e-37
heritage_Property.Rights,Poverty_headcount_LMIC_3.65,SI.POV.LMIC,1.605739484505912e-138
heritage_Government.Integrity,GDP_per_capita_growth,GDP_per_capita_growth,4.4908481187661484e-5
heritage_Government.Integrity,Gini_index,SI.POV.GINI,2.0162950834538427e-69
heritage_Government.Integrity,Income_share_bottom20,SI.DST.FRST.20,1.0434721819613936e-48
heritage_Government.Integrity,Poverty_headcount_LMIC_3.65,SI.POV.LMIC,2.2495786010661352e-172
