component,outcome,outcome_col,p_value
fraser_SizeGov,GDP_per_capita_growth,GDP_per_capita_growth,0.3272050057339112
fraser_SizeGov,Gini_index,SI.POV.GINI,0.0522390563187089
fraser_SizeGov,Income_share_bottom20,SI.DST.FRST.20,0.18564208775192861
fraser_SizeGov,Poverty_headcount_LMIC_3.65,SI.POV.LMIC,0.9174600034526559
fraser_LegalSystem,GDP_per_capita_growth,GDP_per_capita_growth,0.17533483970831656
fraser_LegalSystem,Gini_index,SI.POV.GINI,0.9680095151212835
fraser_LegalSystem,Income_share_bottom20,SI.DST.FRST.20,0.9945566986203371
fraser_LegalSystem,Poverty_headcount_LMIC_3.65,SI.POV.LMIC,8.701621723258447e-4
fraser_SoundMoney,GDP_per_capita_growth,GDP_per_capita_growth,0.627271587045331
fraser_SoundMoney,Gini_index,SI.POV.GINI,0.7693168510803038
fraser_SoundMoney,Income_share_bottom20,SI.DST.FRST.20,0.6648275298818271
fraser_SoundMoney,Poverty_headcount_LMIC_3.65,SI.POV.LMIC,0.004449049893321837
fraser_FreeTrade,GDP_per_capita_growth,GDP_per_capita_growth,0.4513308455655104
fraser_FreeTrade,Gini_index,SI.POV.GINI,0.2239683202047731
fraser_FreeTrade,Income_share_bottom20,SI.DST.FRST.20,0.3096129302879332
fraser_FreeTrade,Poverty_headcount_LMIC_3.65,SI.POV.LMIC,0.003125644495650057
fraser_Regulation,GDP_per_capita_growth,GDP_per_capita_growth,0.002954614710736114
fraser_Regulation,Gini_index,SI.POV.GINI,0.21425815520337102
fraser_Regulation,Income_share_bottom20,SI.DST.FRST.20,0.17563353073335547
fraser_Regulation,Poverty_headcount_LMIC_3.65,SI.POV.LMIC,0.027417906609525793
heritage_Property.Rights,GDP_per_capita_growth,GDP_per_capita_growth,0.00302743629131968
heritage_Property.Rights,Gini_index,SI.POV.GINI,0.0395843738387379
heritage_Property.Rights,Income_share_bottom20,SI.DST.FRST.20,0.05018496669893399
heritage_Property.Rights,Poverty_headcount_LMIC_3.65,SI.POV.LMIC,0.9287041278168882
heritage_Government.Integrity,GDP_per_capita_growth,GDP_per_capita_growth,0.22772707680927937
heritage_Government.Integrity,Gini_index,SI.POV.GINI,0.5020797157507961
