component,outcome,outcome_col,att,se,p_value
fraser_SizeGov,GDP_per_capita_growth,GDP_per_capita_growth,NA,NA,NA
fraser_SizeGov,Gini_index,SI.POV.GINI,NA,NA,NA
fraser_SizeGov,Income_share_bottom20,SI.DST.FRST.20,NA,NA,NA
fraser_SizeGov,Poverty_headcount_LMIC_3.65,SI.POV.LMIC,NA,NA,NA
fraser_LegalSystem,GDP_per_capita_growth,GDP_per_capita_growth,NA,NA,NA
fraser_LegalSystem,Gini_index,SI.POV.GINI,NA,NA,NA
fraser_LegalSystem,Income_share_bottom20,SI.DST.FRST.20,NA,NA,NA
fraser_LegalSystem,Poverty_headcount_LMIC_3.65,SI.POV.LMIC,NA,NA,NA
fraser_SoundMoney,GDP_per_capita_growth,GDP_per_capita_growth,NA,NA,NA
fraser_SoundMoney,Gini_index,SI.POV.GINI,NA,NA,NA
fraser_SoundMoney,Income_share_bottom20,SI.DST.FRST.20,NA,NA,NA
fraser_SoundMoney,Poverty_headcount_LMIC_3.65,SI.POV.LMIC,NA,NA,NA
fraser_FreeTrade,GDP_per_capita_growth,GDP_per_capita_growth,NA,NA,NA
fraser_FreeTrade,Gini_index,SI.POV.GINI,NA,NA,NA
fraser_FreeTrade,Income_share_bottom20,SI.DST.FRST.20,NA,NA,NA
fraser_FreeTrade,Poverty_headcount_LMIC_3.65,SI.POV.LMIC,NA,NA,NA
fraser_Regulation,GDP_per_capita_growth,GDP_per_capita_growth,NA,NA,NA
fraser_Regulation,Gini_index,SI.POV.GINI,NA,NA,NA
fraser_Regulation,Income_share_bottom20,SI.DST.FRST.20,NA,NA,NA
fraser_Regulation,Poverty_headcount_LMIC_3.65,SI.POV.LMIC,NA,NA,NA
heritage_Property.Rights,GDP_per_capita_growth,GDP_per_capita_growth,NA,NA,NA
heritage_Property.Rights,Gini_index,SI.POV.GINI,NA,NA,NA
heritage_Property.Rights,Income_share_bottom20,SI.DST.FRST.20,NA,NA,NA
heritage_Property.Rights,Poverty_headcount_LMIC_3.65,SI.POV.LMIC,NA,NA,NA
heritage_Government.Integrity,GDP_per_capita_growth,GDP_per_capita_growth,NA,NA,NA
heritage_Government.Integrity,Gini_index,SI.POV.GINI,NA,NA,NA
heritage_Government.Integrity,Income_share_bottom20,SI.DST.FRST.20,NA,NA,NA
heritage_Government.Integrity,Poverty_headcount_LMIC_3.65,SI.POV.LMIC,NA,NA,NA
heritage_Judicial.Effectiveness,GDP_per_capita_growth,GDP_per_capita_growth,NA,NA,NA
heritage_Judicial.Effectiveness,Gini_index,SI.POV.GINI,NA,NA,NA
heritage_Judicial.Effectiveness,Income_share_bottom20,SI.DST.FRST.20,NA,NA,NA
heritage_Judicial.Effectiveness,Poverty_headcount_LMIC_3.65,SI.POV.LMIC,NA,NA,NA
heritage_Tax.Burden,GDP_per_capita_growth,GDP_per_capita_growth,NA,NA,NA
heritage_Tax.Burden,Gini_index,SI.POV.GINI,NA,NA,NA
