component,outcome,att,se,p_value,fdr_bh,reject_bh_05
fraser_SizeGov,Gini_index,-1.387247650856041,1.2358246624400053,0.261638055968599,0.7116555122345893,FALSE
fraser_SizeGov,Poverty_headcount_LMIC_3.65,8.408676969157302,4.30632952477022,0.05086321276962611,0.44808183198354595,FALSE
fraser_LegalSystem,Gini_index,-0.5046785852066428,1.148857946313616,0.6604534510284452,0.977426464814589,FALSE
fraser_LegalSystem,Poverty_headcount_LMIC_3.65,-2.9239446858497775,3.626615710897202,0.420100976190543,0.840201952381086,FALSE
fraser_SoundMoney,Gini_index,-0.39812415997488027,1.2363651880316355,0.7474437672111562,0.977426464814589,FALSE
fraser_SoundMoney,Poverty_headcount_LMIC_3.65,-9.68836929394786,5.069199486140932,0.055975963715565985,0.44808183198354595,FALSE
fraser_FreeTrade,Gini_index,1.4552791613735927,1.0766754442195174,0.17649004280728547,0.6667401617164118,FALSE
fraser_FreeTrade,Poverty_headcount_LMIC_3.65,0.5396966828166873,4.158675886012193,0.8967435828511748,0.982377694634847,FALSE
fraser_Regulation,Gini_index,-0.21705523708092347,0.8146853752083899,0.7899093747059874,0.9821614370663045,FALSE
fraser_Regulation,Poverty_headcount_LMIC_3.65,-7.571233338364862,2.745901482441123,0.005828350370516277,0.39632782519510684,FALSE
heritage_Property.Rights,Gini_index,0.47014342923630875,1.067909369327177,0.6597585390227314,0.977426464814589,FALSE
heritage_Property.Rights,Poverty_headcount_LMIC_3.65,4.850571315992964,3.677173545391707,0.18713462030636172,0.6697449568859262,FALSE
heritage_Government.Integrity,Gini_index,-1.2353039077233592,1.2390923446367001,0.31879238640905777,0.7424262507462943,FALSE
heritage_Government.Integrity,Poverty_headcount_LMIC_3.65,1.4557428039769487,3.8896059092748763,0.7082072744407795,0.977426464814589,FALSE
heritage_Judicial.Effectiveness,Gini_index,2.116224489795919,1.122114369841848,0.059304948350763435,0.44808183198354595,FALSE
heritage_Judicial.Effectiveness,Poverty_headcount_LMIC_3.65,7.07061224489796,4.689041080156357,0.13157972960561576,0.6391015437987051,FALSE
heritage_Tax.Burden,Gini_index,2.738609333553634,1.2759518290509666,0.031846931906334544,0.44808183198354595,FALSE
heritage_Tax.Burden,Poverty_headcount_LMIC_3.65,-5.999159697091769,5.091535528575077,0.23869241768825294,0.7116555122345893,FALSE
heritage_Government.Spending,Gini_index,-0.5161935867566466,1.5626104253927937,0.7411426568330597,0.977426464814589,FALSE
heritage_Government.Spending,Poverty_headcount_LMIC_3.65,-1.7087122150273184,3.879797655133131,0.6596382182046299,0.977426464814589,FALSE
heritage_Fiscal.Health,Gini_index,0.6579292446761511,1.0860730960777543,0.5446560309076954,0.9259152525430822,FALSE
heritage_Fiscal.Health,Poverty_headcount_LMIC_3.65,-5.397860207193654,3.6962805251012583,0.14419413416047214,0.6445792719521503,FALSE
heritage_Business.Freedom,Gini_index,1.928325308257306,1.2042035388259071,0.1093042052485165,0.5717450736076248,FALSE
heritage_Business.Freedom,Poverty_headcount_LMIC_3.65,3.2396563181961984,3.012293816865054,0.28216068926647575,0.7118435904596027,FALSE
heritage_Labor.Freedom,Gini_index,-0.06529727073281068,0.8733613601036726,0.9404013175138893,0.991644043320045,FALSE
heritage_Labor.Freedom,Poverty_headcount_LMIC_3.65,-0.9617016044866455,3.7706592940955446,0.7986855155393204,0.9821614370663045,FALSE
heritage_Monetary.Freedom,Gini_index,1.4261539177366307,1.414090929287273,0.3131998240855624,0.7424262507462943,FALSE
heritage_Monetary.Freedom,Poverty_headcount_LMIC_3.65,0.046182081403444195,4.409704068367556,0.991644043320045,0.991644043320045,FALSE
heritage_Trade.Freedom,Gini_index,0.1610010880149606,1.426595528687259,0.9101440406175789,0.982377694634847,FALSE
heritage_Trade.Freedom,Poverty_headcount_LMIC_3.65,-4.742717136387728,3.704684468332304,0.2004766965144249,0.6816207681490446,FALSE
heritage_Investment.Freedom,Gini_index,-1.6459942606547555,0.8474160521738848,0.052092503766705635,0.44808183198354595,FALSE
heritage_Investment.Freedom,Poverty_headcount_LMIC_3.65,-0.8753715613249233,4.6457089069343285,0.8505428521457663,0.9821614370663045,FALSE
heritage_Financial.Freedom,Gini_index,1.7694556895527005,1.2627860010951775,0.16114481798803756,0.6445792719521503,FALSE
heritage_Financial.Freedom,Poverty_headcount_LMIC_3.65,6.034582939501403,4.303164720969661,0.16080798938271765,0.6445792719521503,FALSE
