"ISO3","event_year"
"ARG",1995
"ARM",2001
"BHR",1980
"BTN",2007
"CHL",1990
"CPV",2003
"CRI",1990
"CZE",2000
"DOM",2000
"EST",2000
"FJI",1995
"FRA",1990
"GBR",1980
"GMB",2005
"GRC",2000
"GTM",1995
"HUN",1995
"ISL",1990
"ITA",1990
"JAM",1995
"JOR",2000
"KOR",1990
"KWT",1985
"LBN",2006
"LTU",2000
"LVA",2000
"MEX",1995
"MLT",1995
"MNE",2002
"MNG",2002
"MUS",1995
"NIC",2000
"PAN",1990
"PER",2000
"PHL",1995
"PRT",1995
"PRY",1995
"SLV",1995
"SUR",2007
"SVK",2000
"SVN",2000
"SYC",2002
"THA",1990
"TTO",1995
"TWN",1990
"URY",2000
"ZAF",1995
