"outcome","ate","se","ci_lower","ci_upper"
"log_GDP_per_capita",0.0622807109860111,0.0116896579397794,0.0393689814240435,0.0851924405479787
"GDP.growth..annual...",9454.32004511485,2865.96732315133,3837.02409173824,15071.6159984915
"GDP.per.capita.growth..annual...",9250.09166794305,2803.97289572984,3754.30479231256,14745.8785435735
"GDP.per.capita.growth..annual...",9250.09166794305,2803.97289572984,3754.30479231256,14745.8785435735
"GNI.per.capita..constant.2015.US..",-683.428372055645,126.040362096366,-930.467481764522,-436.389262346767
"GNI.growth..annual...",0.000208080560432269,0.23142264432467,-0.453380302315921,0.453796463436785
"GNI.per.capita.growth..annual...",0.171963599951769,0.241923861691857,-0.30220716896427,0.646134368867809
"Poverty.gap.at..3.65.a.day..2017.PPP.....",-2.80283883681202,0.29803222264956,-3.38698199320516,-2.21869568041888
"Poverty.gap.at..6.85.a.day..2017.PPP.....",-2.14084560930932,0.459530761985927,-3.04152590280174,-1.2401653158169
"Poverty.headcount.ratio.at..3.65.a.day..2017.PPP.....of.population.",-3.60232610804663,0.629291352775474,-4.83573715948656,-2.3689150566067
"Poverty.headcount.ratio.at..6.85.a.day..2017.PPP.....of.population.",0.285043557916186,0.752248593981417,-1.18936368628739,1.75945080211976
"Poverty.headcount.ratio.at.national.poverty.lines....of.population.",-3.95394145806277,0.908250970778476,-5.73411336078858,-2.17376955533696
"Poverty.headcount.ratio.at.societal.poverty.line....of.population.",-2.22279217333391,0.291175324908752,-2.79349581015506,-1.65208853651275
"Proportion.of.population.pushed.below.the..3.65....2017.PPP..poverty.line.by.out.of.pocket.health.care.expenditure....",0.170939938300704,0.070603911695346,0.0325562713778259,0.309323605223582
"Proportion.of.population.pushed.further.below.the..3.65....2017.PPP..poverty.line.by.out.of.pocket.health.care.expenditure....",-2.19847967442243,0.704660361822797,-3.57961398359511,-0.817345365249748
"Gini.index",0.972594385699773,0.276760450765374,0.430143902199639,1.51504486919991
"Income.share.held.by.highest.10.",0.720020442793045,0.23513580216077,0.259154270557935,1.18088661502816
"Income.share.held.by.lowest.10.",-0.141670481037181,0.0304444434279484,-0.20134159015596,-0.0819993719184025
