"outcome","ate","se","ci_lower","ci_upper","country_group"
"log_GDP_per_capita",0.0100202005153829,0.0374965157331183,-0.0634729703215289,0.0835133713522947,"East Asia & Pacific"
"GDP.growth..annual...",1.09092750902933,0.501204856406205,0.108565990473173,2.0732890275855,"East Asia & Pacific"
"GDP.per.capita.growth..annual...",1.30086102716369,0.48579557421452,0.348701701703233,2.25302035262415,"East Asia & Pacific"
"GNI.per.capita..constant.2015.US..",-2863.41896698916,472.120321892172,-3788.77479789782,-1938.0631360805,"East Asia & Pacific"
"GNI.growth..annual...",1.59813627902978,0.689664454600558,0.246393948012686,2.94987861004687,"East Asia & Pacific"
"GNI.per.capita.growth..annual...",1.78578777081909,0.595836609851189,0.617948015510764,2.95362752612743,"East Asia & Pacific"
"Poverty.gap.at..3.65.a.day..2017.PPP.....",-10.2536996186175,1.81362612073212,-13.8084068152525,-6.69899242198254,"East Asia & Pacific"
"Poverty.gap.at..6.85.a.day..2017.PPP.....",-8.22607962352879,2.11169114686594,-12.364994271386,-4.08716497567154,"East Asia & Pacific"
"Poverty.headcount.ratio.at..3.65.a.day..2017.PPP.....of.population.",-13.7502357942515,2.93461675337516,-19.5020846308668,-7.99838695763617,"East Asia & Pacific"
"Poverty.headcount.ratio.at..6.85.a.day..2017.PPP.....of.population.",-0.503303715741436,3.14257118478866,-6.66274323792721,5.65613580644434,"East Asia & Pacific"
"Poverty.headcount.ratio.at.national.poverty.lines....of.population.",5.26662635350888,14.0347093602707,-22.2414039926218,32.7746566996395,"East Asia & Pacific"
"Poverty.headcount.ratio.at.societal.poverty.line....of.population.",-6.46586805336736,1.47391818071143,-9.35474768756176,-3.57698841917296,"East Asia & Pacific"
"Proportion.of.population.pushed.below.the..3.65....2017.PPP..poverty.line.by.out.of.pocket.health.care.expenditure....",-1.06259087654204,0.172967095812704,-1.40160638433494,-0.723575368749145,"East Asia & Pacific"
"Proportion.of.population.pushed.further.below.the..3.65....2017.PPP..poverty.line.by.out.of.pocket.health.care.expenditure....",-14.7489653374049,1.59275370425802,-17.8707625977506,-11.6271680770591,"East Asia & Pacific"
"Gini.index",4.62493847948357,0.771152915771132,3.11347876457215,6.13639819439499,"East Asia & Pacific"
"Income.share.held.by.highest.10.",3.42495127693826,0.599822024032923,2.24930010983373,4.60060244404278,"East Asia & Pacific"
"Income.share.held.by.lowest.10.",-0.483036178151785,0.0798376905132648,-0.639518051557784,-0.326554304745786,"East Asia & Pacific"
