"outcome","ate","se","ci_lower","ci_upper","country_group"
"log_GDP_per_capita",0.0654521831569278,0.0144875558221025,0.0370565737456069,0.0938477925682487,"Eastern Europe"
"GDP.growth..annual...",-0.239403123156052,0.426520039834145,-1.07538240123098,0.596576154918871,"Eastern Europe"
"GDP.per.capita.growth..annual...",-0.186503540303361,0.421236314497775,-1.012126716719,0.639119636112279,"Eastern Europe"
"GNI.per.capita..constant.2015.US..",-676.177352570598,163.106970488599,-995.867014728251,-356.487690412945,"Eastern Europe"
"GNI.growth..annual...",-0.133146666236093,0.445937228785515,-1.0071836346557,0.740890302183516,"Eastern Europe"
"GNI.per.capita.growth..annual...",0.233869779112178,0.391427976625917,-0.53332905507462,1.00106861329898,"Eastern Europe"
"Poverty.gap.at..3.65.a.day..2017.PPP.....",-0.943417824444056,0.183663196867088,-1.30339769030355,-0.583437958584564,"Eastern Europe"
"Poverty.gap.at..6.85.a.day..2017.PPP.....",-3.40876782281719,0.386466043499879,-4.16624126807696,-2.65129437755743,"Eastern Europe"
"Poverty.headcount.ratio.at..3.65.a.day..2017.PPP.....of.population.",-2.90994491924242,0.401254107034073,-3.6964029690292,-2.12348686945564,"Eastern Europe"
"Poverty.headcount.ratio.at..6.85.a.day..2017.PPP.....of.population.",-9.52757335704651,0.903117886232075,-11.2976844140614,-7.75746230003165,"Eastern Europe"
"Poverty.headcount.ratio.at.national.poverty.lines....of.population.",-0.349826377118485,0.602618999405171,-1.53095961595262,0.83130686171565,"Eastern Europe"
"Poverty.headcount.ratio.at.societal.poverty.line....of.population.",-1.82286261482824,0.536163297643127,-2.87374267820876,-0.771982551447708,"Eastern Europe"
"Proportion.of.population.pushed.below.the..3.65....2017.PPP..poverty.line.by.out.of.pocket.health.care.expenditure....",-0.279205247486186,0.0630698702027886,-0.402822193083652,-0.155588301888721,"Eastern Europe"
"Proportion.of.population.pushed.further.below.the..3.65....2017.PPP..poverty.line.by.out.of.pocket.health.care.expenditure....",-1.31884283979575,0.417514081780533,-2.1371704400856,-0.50051523950591,"Eastern Europe"
"Gini.index",-0.313190816967273,0.594974182008385,-1.47934021370371,0.85295857976916,"Eastern Europe"
"Income.share.held.by.highest.10.",-0.128253674065276,0.463021533159299,-1.0357758790575,0.779268530926949,"Eastern Europe"
"Income.share.held.by.lowest.10.",0.0833885240048782,0.0898417984841122,-0.0927014010239817,0.259478449033738,"Eastern Europe"
