"outcome","ate","se","ci_lower","ci_upper","country_group"
"log_GDP_per_capita",-0.0688688227684366,0.0332391014505684,-0.134017461611551,-0.00372018392532246,"Middle East & N. Africa"
"GDP.growth..annual...",-235.066251968841,101.905132101183,-434.800310887159,-35.3321930505232,"Middle East & N. Africa"
"GDP.per.capita.growth..annual...",-228.970528432495,99.6571300494855,-424.298503329487,-33.6425535355038,"Middle East & N. Africa"
"GNI.per.capita..constant.2015.US..",646.682892425352,256.070939944821,144.783850133502,1148.5819347172,"Middle East & N. Africa"
"GNI.growth..annual...",1.13048850373349,0.814825982872716,-0.466570422697031,2.72754743016401,"Middle East & N. Africa"
"GNI.per.capita.growth..annual...",-0.238859402312806,0.880216394317216,-1.96408353517455,1.48636473054894,"Middle East & N. Africa"
"Poverty.gap.at..3.65.a.day..2017.PPP.....",1.65941903510786,1.22288489789393,-0.737435364764243,4.05627343497996,"Middle East & N. Africa"
"Poverty.gap.at..6.85.a.day..2017.PPP.....",1.16768222653165,2.94852190972518,-4.6114207165297,6.94678516959301,"Middle East & N. Africa"
"Poverty.headcount.ratio.at..3.65.a.day..2017.PPP.....of.population.",2.99862999413339,3.67410681726632,-4.20261936770859,10.1998793559754,"Middle East & N. Africa"
"Poverty.headcount.ratio.at..6.85.a.day..2017.PPP.....of.population.",-1.36800773383426,5.38614743180128,-11.9248567001648,9.18884123249625,"Middle East & N. Africa"
"Poverty.headcount.ratio.at.societal.poverty.line....of.population.",-7.08182775736706,2.61964479467286,-12.2163315549259,-1.94732395980827,"Middle East & N. Africa"
"Proportion.of.population.pushed.below.the..3.65....2017.PPP..poverty.line.by.out.of.pocket.health.care.expenditure....",0.399204101667587,0.478179197350568,-0.538027125139526,1.3364353284747,"Middle East & N. Africa"
"Proportion.of.population.pushed.further.below.the..3.65....2017.PPP..poverty.line.by.out.of.pocket.health.care.expenditure....",2.35799374983595,0.504583975660301,1.36900915754176,3.34697834213014,"Middle East & N. Africa"
"Gini.index",-6.37200983000466,2.53730418737706,-11.3451260372637,-1.39889362274562,"Middle East & N. Africa"
"Income.share.held.by.highest.10.",-3.3530819770742,1.90931062801136,-7.09533080797646,0.389166853828057,"Middle East & N. Africa"
"Income.share.held.by.lowest.10.",0.930303968852685,0.28108078096381,0.379385638163617,1.48122229954175,"Middle East & N. Africa"
