"outcome","ate","se","ci_lower","ci_upper","country_group"
"log_GDP_per_capita",-0.114479414342805,0.0131222084259192,-0.140198942857606,-0.0887598858280032,"Other"
"GDP.growth..annual...",0.076804427652406,0.432433533725052,-0.770765298448696,0.924374153753508,"Other"
"GDP.per.capita.growth..annual...",-0.0619381494222739,0.418744591317679,-0.882677548404925,0.758801249560377,"Other"
"GNI.per.capita..constant.2015.US..",288.191763630364,171.691201764207,-48.322991827481,624.70651908821,"Other"
"GNI.growth..annual...",-2.7050641596628,0.401877906600132,-3.49274485659905,-1.91738346272654,"Other"
"GNI.per.capita.growth..annual...",-2.57880755280448,0.386819375429906,-3.3369735286471,-1.82064157696187,"Other"
"Poverty.gap.at..3.65.a.day..2017.PPP.....",-0.903118584752864,0.579345038021269,-2.03863485927455,0.232397689768824,"Other"
"Poverty.gap.at..6.85.a.day..2017.PPP.....",0.230174283190617,0.989480049924967,-1.70920661466232,2.16955518104355,"Other"
"Poverty.headcount.ratio.at..3.65.a.day..2017.PPP.....of.population.",-0.937985312047947,1.42082621734243,-3.72280469803911,1.84683407394322,"Other"
"Poverty.headcount.ratio.at..6.85.a.day..2017.PPP.....of.population.",3.03330617668,1.52282213612313,0.0485747898786699,6.01803756348133,"Other"
"Poverty.headcount.ratio.at.national.poverty.lines....of.population.",-0.353386454183573,2.0492374132376,-4.36989178412928,3.66311887576213,"Other"
"Poverty.headcount.ratio.at.societal.poverty.line....of.population.",1.86033479500513,0.60001551148919,0.684304392486315,3.03636519752394,"Other"
"Proportion.of.population.pushed.below.the..3.65....2017.PPP..poverty.line.by.out.of.pocket.health.care.expenditure....",-0.136470762544829,0.0549943816303162,-0.244259750540249,-0.0286817745494095,"Other"
"Proportion.of.population.pushed.further.below.the..3.65....2017.PPP..poverty.line.by.out.of.pocket.health.care.expenditure....",-2.50204981990303,0.627928628549827,-3.73278993186069,-1.27130970794537,"Other"
"Gini.index",2.11327972707742,0.525913977376143,1.08248833142018,3.14407112273466,"Other"
"Income.share.held.by.highest.10.",1.01788418269236,0.30057496279977,0.428757255604808,1.60701110977991,"Other"
"Income.share.held.by.lowest.10.",-0.00673214637192478,0.147948798090882,-0.296711790630054,0.283247497886204,"Other"
