"outcome","ate","se","ci_lower","ci_upper","country_group"
"log_GDP_per_capita",0.163234746205952,0.0205961715953803,0.122866249879007,0.203603242532898,"Post-Soviet"
"GDP.growth..annual...",-2.14225633885146,0.618249695652041,-3.35402574232946,-0.930486935373462,"Post-Soviet"
"GDP.per.capita.growth..annual...",-1.85714168158026,0.597932889142864,-3.02909014430027,-0.685193218860249,"Post-Soviet"
"GNI.per.capita..constant.2015.US..",-2622.40445549372,329.399146734589,-3268.02678309352,-1976.78212789393,"Post-Soviet"
"GNI.growth..annual...",-3.11890379556934,0.691311409975152,-4.47387415912064,-1.76393343201804,"Post-Soviet"
"GNI.per.capita.growth..annual...",-2.31035621998266,0.734047016021048,-3.74908837138391,-0.871624068581408,"Post-Soviet"
"Poverty.gap.at..3.65.a.day..2017.PPP.....",-3.01176793333482,0.673182090892781,-4.33120483148467,-1.69233103518497,"Post-Soviet"
"Poverty.gap.at..6.85.a.day..2017.PPP.....",-6.14099135466392,0.960027726084749,-8.02264569779003,-4.25933701153782,"Post-Soviet"
"Poverty.headcount.ratio.at..3.65.a.day..2017.PPP.....of.population.",-6.32621328781452,1.52349746230089,-9.31226831392426,-3.34015826170478,"Post-Soviet"
"Poverty.headcount.ratio.at..6.85.a.day..2017.PPP.....of.population.",-13.2933492095027,1.98842987680041,-17.1906717680315,-9.3960266509739,"Post-Soviet"
"Poverty.headcount.ratio.at.national.poverty.lines....of.population.",-8.72173061513101,1.20472809523493,-11.0829976817915,-6.36046354847054,"Post-Soviet"
"Poverty.headcount.ratio.at.societal.poverty.line....of.population.",-5.8832280755585,0.731005174536985,-7.31599821765099,-4.45045793346601,"Post-Soviet"
"Proportion.of.population.pushed.below.the..3.65....2017.PPP..poverty.line.by.out.of.pocket.health.care.expenditure....",-0.412000354719846,0.166406758193626,-0.738157600779353,-0.0858431086603398,"Post-Soviet"
"Proportion.of.population.pushed.further.below.the..3.65....2017.PPP..poverty.line.by.out.of.pocket.health.care.expenditure....",-4.71934188261365,0.95252819410471,-6.58629714305889,-2.85238662216842,"Post-Soviet"
"Gini.index",-1.80717756383331,0.416611420468162,-2.62373594795091,-0.990619179715713,"Post-Soviet"
"Income.share.held.by.highest.10.",-0.296200110398581,0.30220519878236,-0.888522300012006,0.296122079214844,"Post-Soviet"
"Income.share.held.by.lowest.10.",0.389071912637292,0.0608560932933911,0.269793969782245,0.508349855492338,"Post-Soviet"
