"outcome","ate","se","ci_lower","ci_upper","country_group"
"log_GDP_per_capita",0.251908938027261,0.0442947889048838,0.165091151773688,0.338726724280833,"Sub-Saharan Africa"
"GDP.growth..annual...",-2.43560810066646,0.496234587555707,-3.40822789227565,-1.46298830905728,"Sub-Saharan Africa"
"GDP.per.capita.growth..annual...",-1.77705342852198,0.496588079131745,-2.7503660636202,-0.803740793423759,"Sub-Saharan Africa"
"GNI.per.capita..constant.2015.US..",346.27084136085,200.3133926584,-46.3434082496141,738.885090971314,"Sub-Saharan Africa"
"GNI.growth..annual...",-2.04703939741601,0.56681381750178,-3.1579944797195,-0.936084315112524,"Sub-Saharan Africa"
"GNI.per.capita.growth..annual...",-1.4921518572326,0.623186131529647,-2.7135966750307,-0.270707039434487,"Sub-Saharan Africa"
"Poverty.gap.at..3.65.a.day..2017.PPP.....",-4.56052625757407,3.43969651127891,-11.3023314196807,2.18127890453259,"Sub-Saharan Africa"
"Poverty.gap.at..6.85.a.day..2017.PPP.....",-0.779719122144782,3.14509303980921,-6.94410148017084,5.38466323588128,"Sub-Saharan Africa"
"Poverty.headcount.ratio.at..3.65.a.day..2017.PPP.....of.population.",0.484780100455665,3.99774617231684,-7.35080239728534,8.32036259819667,"Sub-Saharan Africa"
"Poverty.headcount.ratio.at..6.85.a.day..2017.PPP.....of.population.",5.19385256976639,2.03302954192973,1.20911466758413,9.17859047194865,"Sub-Saharan Africa"
"Poverty.headcount.ratio.at.national.poverty.lines....of.population.",3.80475677247823,2.41289308305574,-0.924513670311028,8.53402721526749,"Sub-Saharan Africa"
"Poverty.headcount.ratio.at.societal.poverty.line....of.population.",-6.48632515810261,2.99815651720819,-12.3627119318307,-0.609938384374555,"Sub-Saharan Africa"
"Proportion.of.population.pushed.below.the..3.65....2017.PPP..poverty.line.by.out.of.pocket.health.care.expenditure....",0.4388444572822,0.281359057863345,-0.112619296129956,0.990308210694357,"Sub-Saharan Africa"
"Proportion.of.population.pushed.further.below.the..3.65....2017.PPP..poverty.line.by.out.of.pocket.health.care.expenditure....",10.9172036322063,5.89740199912271,-0.641704286074239,22.4761115504868,"Sub-Saharan Africa"
"Gini.index",-2.82846830342276,1.43688381689326,-5.64476058453354,-0.0121760223119773,"Sub-Saharan Africa"
"Income.share.held.by.highest.10.",-2.08722882809658,1.44626761837355,-4.92191336010874,0.747455703915575,"Sub-Saharan Africa"
"Income.share.held.by.lowest.10.",0.375543167248997,0.150820998067822,0.0799340110360669,0.671152323461927,"Sub-Saharan Africa"
