"outcome","ate","se","ci_lower","ci_upper","country_group"
"log_GDP_per_capita",0.0524126526121305,0.010001804898265,0.0328091150115311,0.07201619021273,"Western Europe & N. America"
"GDP.growth..annual...",-0.661988852132377,0.295072142957491,-1.24033025232906,-0.0836474519356935,"Western Europe & N. America"
"GDP.per.capita.growth..annual...",-0.495716909954407,0.290518033322107,-1.06513225526574,0.0736984353569231,"Western Europe & N. America"
"GNI.per.capita..constant.2015.US..",4603.23726434299,602.284661835969,3422.75932714449,5783.71520154148,"Western Europe & N. America"
"GNI.growth..annual...",-0.629952349465108,0.239463980080187,-1.09930175042227,-0.160602948507942,"Western Europe & N. America"
"GNI.per.capita.growth..annual...",-0.636567420283048,0.25597777488338,-1.13828385905447,-0.134850981511622,"Western Europe & N. America"
"Poverty.gap.at..3.65.a.day..2017.PPP.....",-0.044955544375676,0.047013432983786,-0.137101873023897,0.0471907842725446,"Western Europe & N. America"
"Poverty.gap.at..6.85.a.day..2017.PPP.....",-0.229950205360271,0.0951557136628503,-0.416455404139457,-0.0434450065810844,"Western Europe & N. America"
"Poverty.headcount.ratio.at..3.65.a.day..2017.PPP.....of.population.",-0.187358117666419,0.0915725671027512,-0.366840349187812,-0.00787588614502682,"Western Europe & N. America"
"Poverty.headcount.ratio.at..6.85.a.day..2017.PPP.....of.population.",-0.715062826180064,0.247603018747878,-1.2003647429259,-0.229760909434224,"Western Europe & N. America"
"Poverty.headcount.ratio.at.national.poverty.lines....of.population.",0.550593027782819,0.207711160792993,0.143479152628553,0.957706902937086,"Western Europe & N. America"
"Poverty.headcount.ratio.at.societal.poverty.line....of.population.",0.148760237787942,0.289451531160489,-0.418564763286618,0.716085238862501,"Western Europe & N. America"
"Proportion.of.population.pushed.below.the..3.65....2017.PPP..poverty.line.by.out.of.pocket.health.care.expenditure....",-0.137522133578851,0.00240153184446537,-0.142229135994003,-0.132815131163699,"Western Europe & N. America"
"Proportion.of.population.pushed.further.below.the..3.65....2017.PPP..poverty.line.by.out.of.pocket.health.care.expenditure....",-0.0212290471165423,0.0264574916777403,-0.0730857308049134,0.0306276365718287,"Western Europe & N. America"
"Gini.index",-0.343249264475496,0.303428064055373,-0.937968270024027,0.251469741073034,"Western Europe & N. America"
"Income.share.held.by.highest.10.",-0.335619545428009,0.225273774158997,-0.777156142779643,0.105917051923625,"Western Europe & N. America"
"Income.share.held.by.lowest.10.",0.00807814460130975,0.0526728051225495,-0.0951605534388873,0.111316842641507,"Western Europe & N. America"
